1801894923,1783001900.099304,,
3615723532,1783001958.730546,,
3615723532,1783001973.884809,-114,7.0
28907533,1783002019.5805178,,
28907533,1783002022.20129,-144,-19.75
1153120270,1783002079.972933,,
1153120270,1783002084.145686,-144,-19.5
1486026959,1783002094.8604789,-83,10.5
3516863503,1783002140.0585291,,
3516863503,1783002146.928237,-113,9.0
3414279184,1783002200.109644,,
3414279184,1783002208.588971,-115,6.25
1281884177,1783002260.4899578,,
1281884177,1783002265.8331609,-116,5.75
3002419218,1783002319.789969,,
3002419218,1783002328.099039,-115,7.0
1881288723,1783002380.883848,,
1881288723,1783002387.2552059,-113,7.75
3691296788,1783002441.1886022,,
3691296788,1783002449.3946838,-114,6.0
2849300501,1783002500.26127,,
2849300501,1783002506.052993,-113,6.5
3123426326,1783002562.287217,,
3123426326,1783002566.57638,-113,7.25
1000510487,1783002620.6513479,,
1000510487,1783002627.3413,-113,7.0
3512696856,1783002680.5386581,,
3512696856,1783002687.071434,-114,6.75
776255513,1783002739.893352,,
776255513,1783002744.972497,-144,-20.0
2472154138,1783002800.298692,,
2472154138,1783002804.596437,-144,-20.25
2106106907,1783002860.557227,,
2106106907,1783002864.880573,-143,-19.25
87720988,1783002920.772453,,
87720988,1783002927.79346,-113,6.75
3391021085,1783002980.338491,,
3876613150,1783003041.804085,,
3876613150,1783003048.557131,-114,7.75
2840409119,1783003102.7047732,,
2840409119,1783003107.2604249,-143,-19.5
1189599264,1783003162.91938,,
1189599264,1783003168.9167218,-114,7.25
1774390305,1783003221.178136,,
1774390305,1783003226.3767931,-143,-18.75
1042233378,1783003282.4307368,,
1042233378,1783003288.4042182,-113,7.5
766979107,1783003341.505562,,
766979107,1783003345.913907,-143,-18.75
2956764196,1783003401.446572,,
2956764196,1783003406.797817,-144,-19.5
965088293,1783003463.8315678,,
965088293,1783003470.3980858,-114,6.75
1916427302,1783003524.5268118,,
1916427302,1783003531.3680131,-113,8.0
3137561639,1783003582.728856,,
3137561639,1783003587.7018712,-145,-19.75
258115624,1783003642.096812,,
258115624,1783003654.36701,-113,7.25
372924457,1783003701.9376209,,
372924457,1783003709.122056,-116,5.0
2616523818,1783003763.0810041,,
2616523818,1783003768.8928251,-114,6.75
2073766955,1783003824.1623979,,
2073766955,1783003830.215074,-114,7.5
2996768812,1783003882.372035,,
2996768812,1783003888.158816,-114,7.0
2050375725,1783003943.846282,,
2050375725,1783003947.8476229,-144,-19.5
2602861614,1783004002.571152,,
2602861614,1783004008.5791948,-113,7.5
3950203951,1783004063.110353,,
1916310576,1783004122.816511,,
1916310576,1783004129.014503,-114,8.0
3273699377,1783004185.7764401,,
3273699377,1783004190.272591,-144,-20.0
2357293106,1783004245.956394,,
2357293106,1783004253.1681778,-113,8.5
3230034995,1783004304.12405,,
3230034995,1783004308.132586,-146,-20.5
3818102836,1783004364.3507252,,
3818102836,1783004371.3875241,-114,6.75
1613367349,1783004424.991724,,
1613367349,1783004429.9028559,-144,-19.25
2663693366,1783004484.6889799,,
2663693366,1783004490.063991,-142,-17.0
3875451959,1783004543.5626822,,
3875451959,1783004550.3867369,-113,8.75
1936307256,1783004604.64479,,
1936307256,1783004611.702571,-114,7.25
2014859321,1783004664.1978319,,
2014859321,1783004672.315305,-115,6.0
2898022458,1783004724.937908,,
2898022458,1783004731.6840699,-114,7.25
2967190587,1783004785.1493871,,
2967190587,1783004798.607449,-113,6.25
4130425916,1783004845.23794,,
4130425916,1783004858.914731,-113,7.0

