128418173,1782856875.953662,,
128418173,1782856890.880712,-112,8.0
3051429246,1782856934.634628,,
3051429246,1782856941.473469,-111,7.5
2097913215,1782856994.584557,,
2097913215,1782857001.2315881,-112,7.75
2109846912,1782857057.310337,,
2109846912,1782857063.7236328,-111,8.0
2522820993,1782857123.359786,-111,6.75
3938435458,1782857176.21572,,
3938435458,1782857180.032723,-144,-19.25
1412282755,1782857237.705952,,
1412282755,1782857243.63429,-111,8.5
1764866436,1782857297.494679,,
1764866436,1782857304.280607,-111,7.5
3089017221,1782857356.8136342,,
3089017221,1782857363.470091,-112,7.75
1277517190,1782857416.378657,,
1259827591,1782857477.492573,,
1259827591,1782857484.309161,-113,8.25
1147309448,1782857535.195193,,
1147309448,1782857542.02427,-111,8.0
753482121,1782857595.170797,,
753482121,1782857601.04988,-111,7.75
385077642,1782857658.509591,,
385077642,1782857664.713985,-111,7.0
3963262347,1782857717.6373692,,
3963262347,1782857722.879128,-112,8.25
3361439116,1782857779.712799,,
3361439116,1782857784.049202,-110,7.0
1777276301,1782857839.105366,,
1777276301,1782857845.877589,-111,7.75
2610248078,1782857904.340399,,
2610248078,1782857908.213556,-145,-20.0
3338996111,1782857958.935105,,
3338996111,1782857965.523521,-110,8.0
2673725840,1782858018.529383,,
2673725840,1782858022.8840609,-143,-19.5
1848582545,1782858077.681874,,
1848582545,1782858084.6712818,-112,7.5
2071032210,1782858137.4576662,,
2071032210,1782858144.1657758,-112,8.0
3580453267,1782858196.343317,,
3580453267,1782858200.692414,-144,-20.25
3375679892,1782858257.908654,,
3375679892,1782858263.575315,-111,8.0
815990165,1782858317.9574668,,
815990165,1782858322.381282,-143,-18.75
2781138326,1782858378.5174022,,
2781138326,1782858383.1109529,-145,-20.0
1027541399,1782858440.0635772,,
1027541399,1782858446.308736,-111,7.5
2403518872,1782858497.529929,,
3703378329,1782858558.097398,,
3703378329,1782858562.559092,-143,-19.25
1215672730,1782858620.474756,,
1215672730,1782858626.4953449,-112,8.25
2169748891,1782858680.499224,,
2169748891,1782858686.243656,-112,7.75
3690859932,1782858737.53762,,
3129723293,1782858798.81637,,
3129723293,1782858806.1028118,-112,7.0
3290643870,1782858860.819086,,
3290643870,1782858867.383828,-112,8.0
3435653535,1782858920.644164,,
3435653535,1782858927.240983,-110,8.75
2692673952,1782858979.0931652,,
2692673952,1782858989.652195,-112,8.5
1686357409,1782859041.0459259,,
1686357409,1782859047.36768,-111,7.0
512727458,1782859099.748393,,
512727458,1782859105.39781,-112,9.0
2363986339,1782859160.98223,,
2363986339,1782859167.6922739,-111,9.0
623668644,1782859219.630233,,
623668644,1782859224.756882,-112,9.0
177221029,1782859278.7108228,,
177221029,1782859285.774425,-113,9.25
1334411686,1782859338.4874098,,
1334411686,1782859343.977228,-143,-19.25
2660777383,1782859401.8574321,,
2660777383,1782859408.736737,-112,9.25
4104031656,1782859461.4837089,,
4104031656,1782859466.448398,-145,-19.75
711970217,1782859521.7026272,,
711970217,1782859527.781248,-112,9.0
4170281386,1782859581.956535,,
938869163,1782859640.9537332,,
938869163,1782859648.534924,-113,8.75
4162981292,1782859701.987626,,
4162981292,1782859707.900152,-112,8.75
3516468653,1782859760.211013,,
3516468653,1782859767.095052,-113,9.0
2934402478,1782859822.111399,,
2934402478,1782859825.682081,-112,8.0
