1801894923,!6c73daa0,!dadfb8d4,200,2,"1, 1783001895.587069",-138,-14.0
3615723532,!6c73daa0,!dadfb8d4,200,2,"2, 1783001955.707434",-140,-14.75
28907533,!6c73daa0,!dadfb8d4,204,1,"3, 1783002015.826577",-145,-19.5
1153120270,!6c73daa0,!dadfb8d4,200,2,"4, 1783002075.937067",-138,-14.0
3516863503,!6c73daa0,!dadfb8d4,200,2,"5, 1783002136.0568619",-140,-16.0
3414279184,!6c73daa0,!dadfb8d4,200,2,"6, 1783002196.1748962",-140,-15.25
1281884177,!6c73daa0,!dadfb8d4,200,2,"7, 1783002256.2952168",-138,-12.75
3002419218,!6c73daa0,!dadfb8d4,200,2,"8, 1783002316.418389",-141,-16.0
1881288723,!6c73daa0,!dadfb8d4,200,2,"9, 1783002376.531774",-139,-13.5
3691296788,!6c73daa0,!dadfb8d4,200,2,"10, 1783002436.652917",-138,-12.5
2849300501,!6c73daa0,!dadfb8d4,200,2,"11, 1783002496.769799",-139,-14.5
3123426326,!6c73daa0,!dadfb8d4,204,1,"12, 1783002556.872663",-146,-20.75
1000510487,!6c73daa0,!dadfb8d4,200,2,"13, 1783002616.9834392",-139,-13.5
3512696856,!6c73daa0,!dadfb8d4,200,2,"14, 1783002677.089004",-136,-12.0
776255513,!6c73daa0,!dadfb8d4,200,2,"15, 1783002737.210318",-140,-15.25
2472154138,!6c73daa0,!dadfb8d4,200,2,"16, 1783002797.321876",-142,-17.75
2106106907,!6c73daa0,!dadfb8d4,200,2,"17, 1783002857.438277",-137,-12.75
87720988,!6c73daa0,!dadfb8d4,200,2,"18, 1783002917.557003",-139,-13.5
3391021085,!6c73daa0,!dadfb8d4,200,2,"19, 1783002977.671215",-140,-16.25
3876613150,!6c73daa0,!dadfb8d4,200,2,"20, 1783003037.787681",-140,-16.25
2840409119,!6c73daa0,!dadfb8d4,200,2,"21, 1783003097.8914728",-142,-16.5
1189599264,!6c73daa0,!dadfb8d4,200,2,"22, 1783003157.997971",-139,-14.25
1774390305,!6c73daa0,!dadfb8d4,200,2,"23, 1783003218.120515",-141,-15.5
1042233378,!6c73daa0,!dadfb8d4,200,2,"24, 1783003278.241108",-138,-14.0
766979107,!6c73daa0,!dadfb8d4,200,2,"25, 1783003338.353075",-141,-15.5
2956764196,!6c73daa0,!dadfb8d4,200,2,"26, 1783003398.4649348",-138,-14.0
965088293,!6c73daa0,!dadfb8d4,200,2,"27, 1783003458.569292",-140,-14.75
1916427302,!6c73daa0,!dadfb8d4,200,2,"28, 1783003518.799983",-140,-14.75
3137561639,!6c73daa0,!dadfb8d4,200,2,"29, 1783003578.918219",-140,-15.25
258115624,!6c73daa0,!dadfb8d4,200,2,"30, 1783003639.033281",-140,-14.5
372924457,!6c73daa0,!dadfb8d4,200,2,"31, 1783003699.148318",-140,-14.5
2616523818,!6c73daa0,!dadfb8d4,200,2,"32, 1783003759.2638788",-139,-14.75
2073766955,!6c73daa0,!dadfb8d4,200,2,"33, 1783003819.386413",-138,-13.25
2996768812,!6c73daa0,!dadfb8d4,200,2,"34, 1783003879.501733",-139,-15.25
2050375725,!6c73daa0,!dadfb8d4,200,2,"35, 1783003939.625243",-142,-16.5
2602861614,!6c73daa0,!dadfb8d4,200,2,"36, 1783003999.747678",-141,-16.0
3950203951,!6c73daa0,!dadfb8d4,200,2,"37, 1783004059.8694",-141,-15.75
1916310576,!6c73daa0,!dadfb8d4,200,2,"38, 1783004119.982879",-142,-16.5
3273699377,!6c73daa0,!dadfb8d4,200,2,"39, 1783004180.098248",-140,-15.5
2357293106,!6c73daa0,!dadfb8d4,200,2,"40, 1783004240.223852",-140,-14.5
3230034995,!6c73daa0,!dadfb8d4,200,2,"41, 1783004300.337047",-140,-14.5
3818102836,!6c73daa0,!dadfb8d4,200,2,"42, 1783004360.4480891",-140,-14.75
1613367349,!6c73daa0,!dadfb8d4,200,2,"43, 1783004420.561737",-141,-15.75
2663693366,!6c73daa0,!dadfb8d4,200,2,"44, 1783004480.680726",-141,-16.25
3875451959,!6c73daa0,!dadfb8d4,200,2,"45, 1783004540.802751",-140,-15.25
1936307256,!6c73daa0,!dadfb8d4,200,2,"46, 1783004600.9192672",-139,-14.75
2014859321,!6c73daa0,!dadfb8d4,200,2,"47, 1783004661.0319",-138,-14.75
2898022458,!6c73daa0,!dadfb8d4,200,2,"48, 1783004721.140335",-140,-15.25
2967190587,!6c73daa0,!dadfb8d4,200,2,"49, 1783004781.249578",-138,-14.0
4130425916,!6c73daa0,!dadfb8d4,99,2,"50, 1783004841.3623328",-103,9.0
