
3809386175,!6c73daa0,!dadfb8d4,200,2,"1, 1783023214.663428",1783023220.294314,-138,-14.0
247190208,!6c73daa0,!dadfb8d4,200,2,"2, 1783023274.726892",1783023281.2951837,-137,-11.5
3852823234,!6c73daa0,!dadfb8d4,200,2,"4, 1783023394.965686",1783023401.4463255,-135,-11.25
177872579,!6c73daa0,!dadfb8d4,200,2,"5, 1783023455.086875",1783023460.720505,-137,-13.25
3330440900,!6c73daa0,!dadfb8d4,200,2,"6, 1783023515.202518",1783023522.363445,-138,-14.0
2838615749,!6c73daa0,!dadfb8d4,200,2,"7, 1783023575.323012",1783023581.8370068,-138,-12.5
3111710406,!6c73daa0,!dadfb8d4,200,2,"8, 1783023635.444652",1783023641.5861545,-140,-14.75
769615559,!6c73daa0,!dadfb8d4,200,2,"9, 1783023695.5672011",1783023700.9054506,-137,-12.0
2564463304,!6c73daa0,!dadfb8d4,200,2,"10, 1783023755.694537",1783023762.3203762,-138,-13.25
3326313161,!6c73daa0,!dadfb8d4,200,2,"11, 1783023815.8069608",1783023821.043258,-136,-11.75
2360782538,!6c73daa0,!dadfb8d4,200,2,"12, 1783023875.908523",1783023881.9785447,-139,-13.75
3521305291,!6c73daa0,!dadfb8d4,200,2,"13, 1783023936.025022",1783023941.1530247,-138,-13.25
633026252,!6c73daa0,!dadfb8d4,200,2,"14, 1783023996.140817",1783024001.5015004,-137,-11.75
144538317,!6c73daa0,!dadfb8d4,200,2,"15, 1783024056.252295",1783024061.6665897,-137,-11.75
3512083150,!6c73daa0,!dadfb8d4,200,2,"16, 1783024116.357704",1783024124.0418756,-137,-12.75
693467855,!6c73daa0,!dadfb8d4,200,2,"17, 1783024176.465728",1783024181.8492284,-139,-14.5
2015946448,!6c73daa0,!dadfb8d4,200,2,"18, 1783024236.576833",1783024242.4739223,-136,-12.0
1443236561,!6c73daa0,!dadfb8d4,200,2,"19, 1783024296.6946292",1783024304.8524876,-135,-10.0
97265362,!6c73daa0,!dadfb8d4,200,2,"20, 1783024356.806556",1783024363.1382768,-137,-12.5
2322624211,!6c73daa0,!dadfb8d4,200,2,"21, 1783024416.912343",1783024422.1482494,-137,-12.0
3364658900,!6c73daa0,!dadfb8d4,200,2,"22, 1783024477.021039",1783024484.0430813,-138,-13.0
2605784789,!6c73daa0,!dadfb8d4,200,2,"23, 1783024537.134145",1783024542.6058419,-139,-13.5
3583284950,!6c73daa0,!dadfb8d4,200,2,"24, 1783024597.255357",1783024603.1101677,-136,-11.75
2970446551,!6c73daa0,!dadfb8d4,200,2,"25, 1783024657.3648582",1783024663.877898,-137,-14.0
1517395672,!6c73daa0,!dadfb8d4,200,2,"26, 1783024717.482559",1783024723.4769058,-138,-12.75
65030873,!6c73daa0,!dadfb8d4,200,2,"27, 1783024777.59956",1783024783.9545362,-136,-12.25
3041730266,!6c73daa0,!dadfb8d4,200,2,"28, 1783024837.713245",1783024846.9536617,-138,-12.5
3859302107,!6c73daa0,!dadfb8d4,200,2,"29, 1783024897.824306",1783024904.0810473,-138,-12.75
2164387548,!6c73daa0,!dadfb8d4,200,2,"30, 1783024957.940514",1783024963.7753386,-141,-16.75
2092009181,!6c73daa0,!dadfb8d4,200,2,"31, 1783025018.046392",1783025023.290004,-137,-12.5
4046412510,!6c73daa0,!dadfb8d4,200,2,"32, 1783025078.159776",1783025084.1773531,-138,-13.75
1286437599,!6c73daa0,!dadfb8d4,200,2,"33, 1783025138.278629",1783025144.4573555,-137,-12.5
2166573792,!6c73daa0,!dadfb8d4,200,2,"34, 1783025198.3984199",1783025204.8929207,-140,-14.5
1389883105,!6c73daa0,!dadfb8d4,200,2,"35, 1783025258.515125",1783025264.4557457,-137,-11.75
509790946,!6c73daa0,!dadfb8d4,200,2,"36, 1783025318.631201",1783025324.7826767,-137,-13.25
2754110179,!6c73daa0,!dadfb8d4,200,2,"37, 1783025378.748252",1783025385.939465,-138,-12.5
323082980,!6c73daa0,!dadfb8d4,200,2,"38, 1783025438.864042",1783025444.8950305,-139,-14.5
1224223461,!6c73daa0,!dadfb8d4,200,2,"39, 1783025498.976245",1783025505.7484374,-139,-14.75
1111507686,!6c73daa0,!dadfb8d4,200,2,"40, 1783025559.099502",1783025566.0247033,-137,-13.25
144429799,!6c73daa0,!dadfb8d4,200,2,"41, 1783025619.233407",1783025624.4842732,-138,-12.75
4049119976,!6c73daa0,!dadfb8d4,200,2,"42, 1783025679.340582",1783025686.1137552,-137,-12.75
849172201,!6c73daa0,!dadfb8d4,200,2,"43, 1783025739.458699",1783025745.4448762,-136,-11.25
4034040554,!6c73daa0,!dadfb8d4,200,2,"44, 1783025799.569567",1783025806.2260494,-137,-12.25
1446818539,!6c73daa0,!dadfb8d4,200,2,"45, 1783025859.68721",1783025866.7525723,-137,-12.75
2395002604,!6c73daa0,!dadfb8d4,200,2,"46, 1783025919.7951481",1783025926.092123,-137,-13.0
2569959149,!6c73daa0,!dadfb8d4,200,2,"47, 1783025979.9116511",1783025984.7979727,-138,-13.0
3472019182,!6c73daa0,!dadfb8d4,200,2,"48, 1783026040.015444",1783026044.6980524,-138,-14.0
1765543663,!6c73daa0,!dadfb8d4,200,2,"49, 1783026100.1288571",1783026106.8147213,-136,-12.25
2203009776,!6c73daa0,!dadfb8d4,200,2,"50, 1783026160.2442482",1783026166.9951782,-137,-12.0
