
3809386175,1783023218.0770612,,
3809386175,1783023222.555608,-144,-18.75
247190208,1783023278.224046,,
247190208,1783023283.585782,-141,-17.25
3785662145,1783023337.960906,,
3852823234,1783023399.084385,,
3852823234,1783023403.5687401,-144,-18.5
177872579,1783023458.342535,,
177872579,1783023464.338372,-114,7.25
3330440900,1783023519.40023,,
3330440900,1783023525.410027,-115,5.75
2838615749,1783023579.078827,,
2838615749,1783023585.401082,-115,5.5
3111710406,1783023639.428298,,
3111710406,1783023643.669145,-143,-17.5
769615559,1783023698.824466,,
769615559,1783023704.440625,-115,6.5
2564463304,1783023760.074839,,
2564463304,1783023767.118054,-114,7.5
3326313161,1783023818.806252,,
3326313161,1783023824.467944,-114,6.5
2360782538,1783023879.873667,,
2360782538,1783023883.91875,-144,-19.0
3521305291,1783023939.2968059,,
3521305291,1783023944.6199849,-116,6.0
633026252,1783023999.403658,,
633026252,1783024004.986145,-114,6.5
144538317,1783024059.003235,,
144538317,1783024066.0825238,-114,7.0
3512083150,1783024120.595226,,
3512083150,1783024126.135933,-143,-19.0
693467855,1783024179.599832,,
693467855,1783024185.105421,-115,7.25
2015946448,1783024240.118091,,
2015946448,1783024246.02162,-116,6.0
1443236561,1783024301.2874591,,
1443236561,1783024308.656608,-114,6.25
97265362,1783024360.586373,,
97265362,1783024365.090655,-145,-19.5
2322624211,1783024420.305384,,
2322624211,1783024425.8474162,-115,6.5
3364658900,1783024481.1640499,,
3364658900,1783024487.7640572,-114,7.0
2605784789,1783024540.7804952,,
2605784789,1783024544.467413,-142,-20.0
3583284950,1783024601.386694,,
3583284950,1783024606.598825,-115,6.5
2970446551,1783024660.817557,,
2970446551,1783024667.399724,-115,5.75
1517395672,1783024720.5919628,,
1517395672,1783024726.848514,-115,6.0
65030873,1783024780.414491,,
65030873,1783024787.6273952,-115,6.25
3041730266,1783024842.786788,,
3041730266,1783024852.655255,-114,6.0
3859302107,1783024900.728478,,
3859302107,1783024907.2535958,-113,7.25
2164387548,1783024960.8114429,,
2164387548,1783024968.2603421,-115,6.5
2092009181,1783025021.1817548,,
2092009181,1783025026.843746,-116,5.75
4046412510,1783025082.258231,,
4046412510,1783025088.203713,-116,6.75
1286437599,1783025141.135623,,
1286437599,1783025147.149954,-146,-20.5
2166573792,1783025201.970176,,
2166573792,1783025208.2488692,-117,5.25
1389883105,1783025261.32881,,
1389883105,1783025267.9985569,-115,5.75
509790946,1783025321.636084,,
509790946,1783025328.258901,-115,5.75
2754110179,1783025382.8852942,,
2754110179,1783025392.027153,-115,5.75
323082980,1783025441.8441658,,
323082980,1783025448.565184,-114,7.0
1224223461,1783025502.774635,,
1224223461,1783025507.75455,-144,-18.75
1111507686,1783025563.347266,,
1111507686,1783025569.6220438,-116,5.5
144429799,1783025622.0078552,,
144429799,1783025627.895286,-116,4.75
4049119976,1783025682.875123,,
4049119976,1783025689.5655968,-115,4.25
849172201,1783025742.122546,,
849172201,1783025749.131053,-116,5.25
4034040554,1783025803.1497002,,
4034040554,1783025809.940373,-114,6.75
1446818539,1783025863.7866418,,
1446818539,1783025870.2543612,-114,6.75
2395002604,1783025922.596469,,
2395002604,1783025929.647912,-115,5.75
2569959149,1783025982.7998772,,
2569959149,1783025988.5636008,-116,6.25
3472019182,1783026042.7925959,,
3472019182,1783026048.040289,-115,6.5
1765543663,1783026104.085027,,
1765543663,1783026110.213517,-115,6.25
2203009776,1783026164.311649,,
2203009776,1783026170.619411,-114,7.25
