number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,1785843212.675879,143,1800000,100000,6,48,143,572,183,178,93,85,5,34,3695.159582050319,0.01656308622222223,0.0273224043715847,0.484375,0.5224719101123596,0.3333333333333333,6,4,2,2.9791666666666665,0.9726775956284153,1.9375
5,1785843213.1609511,125,1800000,100000,6,46,125,500,87,87,46,41,0,7,5468.495817669934,0.014478222222222227,0.0,0.25,0.5287356321839081,0.6666666666666666,6,2,4,2.717391304347826,1.0,1.0
5,1785843213.664284,97,1800000,100000,6,48,97,388,192,191,96,95,1,47,2472.9089162332866,0.01123510044444445,0.005208333333333333,0.5,0.5026178010471204,0.0,6,6,0,2.0208333333333335,0.9947916666666666,2.0
5,1785843214.199635,156,1800000,100000,6,47,156,624,136,135,66,69,1,28,8728.0739871863,0.018068821333333342,0.007352941176470588,0.35106382978723405,0.4888888888888889,0.6666666666666666,6,2,4,3.3191489361702127,0.9926470588235294,1.4042553191489362
5,1785843214.690432,145,1800000,100000,6,47,145,580,166,164,82,82,2,29,5718.399994326138,0.016794737777777784,0.012048192771084338,0.43617021276595747,0.5,0.3333333333333333,6,4,2,3.0851063829787235,0.9879518072289156,1.7446808510638299
5,1785843215.159588,145,1800000,100000,6,48,145,580,179,165,88,77,14,37,3967.2238704021624,0.016794737777777784,0.0782122905027933,0.4583333333333333,0.5333333333333333,0.3333333333333333,6,4,2,3.0208333333333335,0.9217877094972067,1.8333333333333333
5,1785843215.640588,146,1800000,100000,6,48,146,584,211,210,95,115,1,46,4878.623201324243,0.016910563555555563,0.004739336492890996,0.4947916666666667,0.4523809523809524,0.3333333333333333,6,4,2,3.0416666666666665,0.995260663507109,1.9791666666666667
5,1785843216.1258938,98,1800000,100000,6,48,98,392,196,196,96,100,0,49,2913.8204723327394,0.011350926222222226,0.0,0.5,0.4897959183673469,0.0,6,6,0,2.0416666666666665,1.0,2.0
5,1785843216.595171,99,1800000,100000,6,48,99,396,194,191,96,95,3,48,2490.858149103654,0.011466752000000005,0.015463917525773196,0.5,0.5026178010471204,0.0,6,6,0,2.0625,0.9845360824742269,2.0
5,1785843217.0859709,115,1800000,100000,6,48,115,460,211,211,96,115,0,52,3546.9876693546576,0.01331996444444445,0.0,0.5,0.4549763033175355,0.0,6,6,0,2.3958333333333335,1.0,2.0
5,1785843217.585193,144,1800000,100000,6,48,144,576,147,147,78,69,0,30,6248.451041981738,0.016678912000000008,0.0,0.40625,0.5306122448979592,0.3333333333333333,6,4,2,3.0,1.0,1.625
5,1785843218.1290638,99,1800000,100000,6,48,99,396,194,193,96,97,1,48,2275.0027943939663,0.011466752000000005,0.005154639175257732,0.5,0.49740932642487046,0.0,6,6,0,2.0625,0.9948453608247423,2.0
5,1785843218.684284,125,1800000,100000,6,46,125,500,65,65,31,34,0,2,3873.897611676324,0.014478222222222227,0.0,0.16847826086956522,0.47692307692307695,0.6666666666666666,6,2,4,2.717391304347826,1.0,0.6739130434782609
5,1785843219.257714,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2310.9080350391255,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,1785843219.827202,100,1800000,100000,6,48,100,400,195,192,96,96,3,49,2379.76345367752,0.011582577777777782,0.015384615384615385,0.5,0.5,0.0,6,6,0,2.0833333333333335,0.9846153846153847,2.0
5,1785843220.384825,128,1800000,100000,6,48,128,512,213,213,95,118,0,56,4437.355424421335,0.014825699555555561,0.0,0.4947916666666667,0.4460093896713615,0.0,6,6,0,2.6666666666666665,1.0,1.9791666666666667
5,1785843220.927892,121,1800000,100000,6,48,121,484,207,207,96,111,0,52,2905.3903106167813,0.014014919111111118,0.0,0.5,0.463768115942029,0.0,6,6,0,2.5208333333333335,1.0,2.0
5,1785843221.58175,193,1800000,100000,6,43,193,772,60,60,44,16,0,9,10904.650399999984,0.022354375111111123,0.0,0.2558139534883721,0.7333333333333333,1.0,6,0,6,4.488372093023256,1.0,1.0232558139534884
5,1785843222.327923,137,1800000,100000,6,45,137,548,66,66,35,31,0,6,5441.631936640052,0.015868131555555564,0.0,0.19444444444444445,0.5303030303030303,0.6666666666666666,6,2,4,3.0444444444444443,1.0,0.7777777777777778
5,1785843223.137336,139,1800000,100000,6,48,139,556,212,212,96,116,0,46,3977.19028686994,0.01609978311111112,0.0,0.5,0.4528301886792453,0.3333333333333333,6,4,2,2.8958333333333335,1.0,2.0
7,1785843223.798778,279,1800000,100000,6,82,279,1674,759,723,325,398,36,257,4665.629428714191,0.023082422857142872,0.04743083003952569,0.6605691056910569,0.44951590594744123,0.2,20,16,4,3.402439024390244,0.9525691699604744,3.9634146341463414
7,1785843224.396078,213,1800000,100000,6,83,213,1278,776,772,329,443,0,275,4113.652631184381,0.01762206476190477,0.0,0.6606425702811245,0.4261658031088083,0.0,20,20,0,2.566265060240964,0.9948453608247423,3.963855421686747
7,1785843224.9236748,170,1800000,100000,6,83,170,1020,678,675,332,343,3,253,2746.2869630190366,0.014064558730158737,0.004424778761061947,0.6666666666666666,0.4918518518518519,0.0,20,20,0,2.0481927710843375,0.995575221238938,4.0
7,1785843225.465379,276,1800000,100000,6,82,276,1656,596,577,269,308,19,192,5222.914489261581,0.022834224761904776,0.031879194630872486,0.5467479674796748,0.4662045060658579,0.4,20,12,8,3.3658536585365852,0.9681208053691275,3.2804878048780486
7,1785843226.0118248,234,1800000,100000,6,81,234,1404,262,256,133,123,6,44,5163.747436687741,0.01935945142857144,0.022900763358778626,0.2736625514403292,0.51953125,0.7,20,6,14,2.888888888888889,0.9770992366412213,1.6419753086419753
7,1785843226.760675,357,1800000,100000,6,82,357,2142,640,552,294,258,88,151,5006.795926188288,0.029535573333333346,0.1375,0.5975609756097561,0.532608695652174,0.5,20,10,10,4.353658536585366,0.8625,3.5853658536585367
7,1785843227.4444711,247,1800000,100000,6,82,247,1482,719,674,320,354,45,231,3282.0196957611893,0.02043497650793652,0.06258692628650904,0.6504065040650406,0.47477744807121663,0.2,20,16,4,3.0121951219512195,0.9374130737134909,3.902439024390244
7,1785843228.1931798,174,1800000,100000,6,82,174,1044,267,266,130,136,1,49,2757.8633757732737,0.014395489523809531,0.003745318352059925,0.26422764227642276,0.48872180451127817,0.6,20,8,12,2.1219512195121952,0.9962546816479401,1.5853658536585367
7,1785843228.8205361,290,1800000,100000,6,83,290,1740,662,617,302,315,45,191,3779.719223479189,0.023992482539682555,0.06797583081570997,0.606425702811245,0.48946515397082657,0.4,20,12,8,3.4939759036144578,0.93202416918429,3.63855421686747
7,1785843229.693855,292,1800000,100000,6,82,292,1752,753,728,319,409,25,234,4808.471790759271,0.02415794793650795,0.033200531208499334,0.6483739837398373,0.4381868131868132,0.4,20,12,8,3.5609756097560976,0.9667994687915007,3.8902439024390243
7,1785843231.945122,345,1800000,100000,6,82,345,2070,538,498,270,228,40,147,7058.191569886332,0.028542780952380963,0.07434944237918216,0.5487804878048781,0.5421686746987951,0.6,20,8,12,4.2073170731707314,0.9256505576208178,3.292682926829268
7,1785843232.835902,192,1800000,100000,6,80,192,1152,421,418,207,211,3,138,2288.5039475083113,0.0158846780952381,0.007125890736342043,0.43125,0.49521531100478466,0.4,20,12,8,2.4,0.9928741092636579,2.5875
7,1785843234.451545,222,1800000,100000,6,82,222,1332,793,780,328,452,13,268,4068.1609357546477,0.018366659047619055,0.01639344262295082,0.6666666666666666,0.4205128205128205,0.1,20,18,2,2.707317073170732,0.9836065573770492,4.0
7,1785843236.011415,321,1800000,100000,6,83,321,1926,601,565,294,271,36,162,4971.895819921697,0.026557196190476206,0.059900166389351084,0.5903614457831325,0.5203539823008849,0.6,20,8,12,3.8674698795180724,0.940099833610649,3.5421686746987953
7,1785843237.024215,284,1800000,100000,6,83,284,1704,774,719,324,395,55,249,3862.8241345777224,0.02349608634920636,0.0710594315245478,0.6506024096385542,0.4506258692628651,0.3,20,14,6,3.4216867469879517,0.9289405684754521,3.9036144578313254
7,1785843237.8966882,272,1800000,100000,6,82,272,1632,819,735,321,414,84,261,4193.342582337403,0.022503293968253978,0.10256410256410256,0.6524390243902439,0.43673469387755104,0.2,20,16,4,3.317073170731707,0.8974358974358975,3.9146341463414633
7,1785843238.650177,230,1800000,100000,6,83,230,1380,803,775,332,443,24,269,3847.822730627887,0.018945787936507946,0.029887920298879204,0.6666666666666666,0.42838709677419357,0.1,20,18,2,2.7710843373493974,0.9651307596513076,4.0
7,1785843239.349571,309,1800000,100000,6,82,309,1854,661,601,300,301,60,192,3892.031698963567,0.02556440380952382,0.0907715582450832,0.6097560975609756,0.49916805324459235,0.4,20,12,8,3.768292682926829,0.9092284417549168,3.658536585365854
7,1785843240.063139,184,1800000,100000,6,82,184,1104,717,703,328,375,14,266,2890.0842378740276,0.015222816507936516,0.019525801952580194,0.6666666666666666,0.4665718349928876,0.0,20,20,0,2.2439024390243905,0.9804741980474198,4.0
7,1785843240.688289,195,1800000,100000,6,82,195,1170,736,720,327,393,16,267,3348.036590453214,0.016132876190476198,0.021739130434782608,0.6646341463414634,0.45416666666666666,0.0,20,20,0,2.3780487804878048,0.9782608695652174,3.9878048780487805
10,1785843241.6405702,595,1800000,100000,6,131,595,5355,2482,2121,899,1222,362,866,5285.795883709537,0.034458168888888904,0.14585012087026591,0.7625106022052587,0.42385667138142386,0.35714285714285715,56,36,20,4.541984732824427,0.854552780016116,6.862595419847328
10,1785843242.481853,443,1800000,100000,6,131,443,3987,2527,2348,911,1437,172,996,4539.8175070965235,0.025597496888888904,0.06806489908982984,0.7726887192536047,0.38798977853492334,0.07142857142857142,56,52,4,3.381679389312977,0.9291650178076771,6.9541984732824424
10,1785843243.225976,602,1800000,100000,6,131,602,5418,1868,1706,798,908,162,676,6598.54878005631,0.03486355911111113,0.0867237687366167,0.6768447837150128,0.46776084407971863,0.5714285714285714,56,24,32,4.595419847328245,0.9132762312633833,6.091603053435114
10,1785843244.052782,582,1800000,100000,6,131,582,5238,2267,1959,852,1107,308,788,5783.543002211576,0.033705301333333354,0.13586237318041464,0.72264631043257,0.4349157733537519,0.35714285714285715,56,36,20,4.442748091603053,0.8641376268195854,6.5038167938931295
10,1785843244.889712,599,1800000,100000,6,130,599,5391,1991,1739,851,888,247,660,5682.438338766373,0.03463190755555558,0.12405826217980914,0.7273504273504273,0.48936170212765956,0.5357142857142857,56,26,30,4.607692307692307,0.8734304369663486,6.546153846153846
10,1785843245.790229,490,1800000,100000,6,130,490,4410,2254,2062,874,1188,192,868,4905.3132709651445,0.02837731555555557,0.08518189884649512,0.747008547008547,0.4238603297769156,0.32142857142857145,56,38,18,3.769230769230769,0.9148181011535049,6.723076923076923
10,1785843246.9343932,508,1800000,100000,6,130,508,4572,2643,2198,892,1306,445,929,5724.458819549505,0.02941974755555557,0.1683692773363602,0.7623931623931623,0.40582347588717016,0.17857142857142858,56,46,10,3.9076923076923076,0.8316307226636398,6.861538461538461
10,1785843247.817384,490,1800000,100000,6,130,490,4410,1903,1829,807,1022,75,761,5824.439609919733,0.02837731555555557,0.0394114555964267,0.6897435897435897,0.4412247129579005,0.4642857142857143,56,30,26,3.769230769230769,0.9611140304781923,6.207692307692308
10,1785843248.805842,624,1800000,100000,6,130,624,5616,2424,2021,872,1149,403,837,5040.289178314622,0.036137642666666685,0.16625412541254125,0.7452991452991453,0.43146956952003956,0.42857142857142855,56,32,24,4.8,0.8337458745874587,6.707692307692308
10,1785843249.648156,425,1800000,100000,6,131,425,3825,2436,2285,901,1384,140,986,5440.451479308914,0.02449715200000001,0.05747126436781609,0.7642069550466497,0.39431072210065643,0.14285714285714285,56,48,8,3.2442748091603053,0.9380131362889984,6.877862595419847
10,1785843250.460779,605,1800000,100000,6,132,605,5445,2129,1838,859,979,269,703,5324.287864885753,0.03474773333333335,0.12635039924847347,0.7230639730639731,0.46735582154515776,0.5,56,28,28,4.583333333333333,0.8633161108501644,6.507575757575758
10,1785843251.251337,565,1800000,100000,6,130,565,5085,1927,1733,782,951,194,686,5348.287327502172,0.03272078222222224,0.10067462376751427,0.6683760683760683,0.4512406231967686,0.5357142857142857,56,26,30,4.346153846153846,0.8993253762324858,6.015384615384615
10,1785843252.087154,613,1800000,100000,6,130,613,5517,2244,1978,878,1100,256,800,5793.686414580827,0.03538477511111113,0.1140819964349376,0.7504273504273504,0.44388270980788674,0.4642857142857143,56,30,26,4.7153846153846155,0.8814616755793226,6.753846153846154
10,1785843252.880116,512,1800000,100000,6,131,512,4608,2095,1965,849,1116,124,816,5941.538545919712,0.02959348622222224,0.05918854415274463,0.7201017811704835,0.43206106870229005,0.35714285714285715,56,36,20,3.9083969465648853,0.9379474940334129,6.480916030534351
10,1785843253.709963,506,1800000,100000,6,131,506,4554,2298,2032,881,1151,266,835,4614.073974627248,0.029303921777777797,0.11575282854656223,0.7472434266327396,0.43356299212598426,0.2857142857142857,56,40,16,3.8625954198473282,0.8842471714534378,6.7251908396946565
10,1785843254.528089,594,1800000,100000,6,130,594,5346,2322,2017,857,1160,305,852,6375.939168515379,0.03440025600000002,0.13135228251507322,0.7324786324786324,0.42488844819038174,0.4642857142857143,56,30,26,4.569230769230769,0.8686477174849268,6.592307692307692
10,1785843255.137964,373,1800000,100000,6,131,373,3357,832,822,422,400,11,271,5425.728330789882,0.021601507555555566,0.013221153846153846,0.35793044953350295,0.51338199513382,0.6785714285714286,56,18,38,2.8473282442748094,0.9879807692307693,3.2213740458015265
10,1785843255.905518,480,1800000,100000,6,130,480,4320,1970,1795,785,1010,175,736,5063.771774858885,0.027798186666666683,0.08883248730964467,0.6709401709401709,0.4373259052924791,0.32142857142857145,56,38,18,3.6923076923076925,0.9111675126903553,6.038461538461538
10,1785843256.7118201,462,1800000,100000,6,132,462,4158,2504,2329,917,1412,169,1022,4979.24136129549,0.02669784177777779,0.06749201277955272,0.7718855218855218,0.39373121511378273,0.14285714285714285,56,48,8,3.5,0.930111821086262,6.946969696969697
10,1785843257.532809,480,1800000,100000,6,131,480,4320,2522,2254,910,1344,268,970,4599.677433520547,0.027798186666666683,0.10626486915146709,0.7718405428329093,0.40372670807453415,0.25,56,42,14,3.66412213740458,0.893735130848533,6.9465648854961835
12,1785843258.666236,835,1800000,100000,6,163,835,9185,3807,3379,1408,1971,429,1486,8451.201603478465,0.04029771851851854,0.11268715524034673,0.7852760736196319,0.41669132879550164,0.5111111111111111,90,44,46,5.122699386503068,0.8875755187811926,8.63803680981595
12,1785843259.913174,638,1800000,100000,6,163,638,7018,4589,3813,1460,2353,776,1757,5487.147046120702,0.03079035259259261,0.16910002179123992,0.8142777467930842,0.38290060319958036,0.15555555555555556,90,76,14,3.914110429447853,0.83089997820876,8.957055214723926
12,1785843261.101502,683,1800000,100000,6,163,683,7513,4457,3580,1452,2128,877,1646,5985.018373068969,0.03296208592592594,0.19676912721561587,0.8098159509202454,0.40558659217877097,0.2222222222222222,90,70,20,4.190184049079755,0.8032308727843841,8.9079754601227
12,1785843262.3708549,842,1800000,100000,6,163,842,9262,4182,3378,1398,1980,804,1465,7135.0701149287415,0.04063554370370372,0.19225251076040173,0.7796988287785834,0.413854351687389,0.4,90,54,36,5.1656441717791415,0.8077474892395983,8.576687116564417
12,1785843263.536194,710,1800000,100000,6,163,710,7810,4036,3513,1428,2085,523,1596,6111.969988944346,0.03426512592592594,0.12958374628344896,0.7964305633017289,0.40649017933390263,0.3111111111111111,90,62,28,4.355828220858895,0.8704162537165511,8.760736196319018
12,1785843264.55042,653,1800000,100000,6,163,653,7183,3546,3190,1390,1800,356,1389,5487.214488122969,0.03151426370370372,0.10039481105470953,0.7752370329057445,0.43573667711598746,0.35555555555555557,90,58,32,4.006134969325154,0.8996051889452905,8.52760736196319
12,1785843265.822876,806,1800000,100000,6,163,806,8866,4161,3470,1419,2051,693,1526,7506.500253260339,0.03889815703703706,0.1665465032444124,0.7914110429447853,0.40893371757925073,0.35555555555555557,90,58,32,4.9447852760736195,0.8339341504446046,8.705521472392638
12,1785843266.9344718,659,1800000,100000,6,164,659,7249,3621,3304,1380,1924,317,1447,5491.256817265099,0.03180382814814817,0.08754487710577188,0.7649667405764967,0.41767554479418884,0.35555555555555557,90,58,32,4.0182926829268295,0.9124551228942281,8.414634146341463
12,1785843268.110701,652,1800000,100000,6,163,652,7172,3989,3495,1422,2073,495,1569,6146.522993004505,0.03146600296296298,0.12409125094008523,0.7930842163970998,0.4068669527896996,0.3111111111111111,90,62,28,4.0,0.8761594384557533,8.723926380368098
12,1785843269.274236,794,1800000,100000,6,163,794,8734,3778,3312,1388,1924,467,1409,6867.638920671848,0.038319028148148165,0.12361037586024351,0.7741215839375348,0.4190821256038647,0.4666666666666667,90,48,42,4.871165644171779,0.8766543144520911,8.515337423312884
12,1785843270.4368708,652,1800000,100000,6,163,652,7172,4177,3679,1454,2225,498,1701,6370.729561416562,0.03146600296296298,0.11922432367728035,0.8109313998884551,0.3952160913291655,0.24444444444444444,90,68,22,4.0,0.8807756763227197,8.920245398773005
12,1785843271.5976162,695,1800000,100000,6,162,695,7645,4043,3612,1423,2189,431,1613,7697.3627224344755,0.03354121481481483,0.10660400692555033,0.7985409652076318,0.39396456256921375,0.3333333333333333,90,60,30,4.290123456790123,0.8933959930744496,8.783950617283951
12,1785843272.719253,822,1800000,100000,6,161,822,9042,3479,3036,1300,1736,444,1282,7576.1878544303645,0.039670328888888905,0.12762288013797068,0.7340485601355167,0.4281949934123847,0.4888888888888889,90,46,44,5.105590062111801,0.872664558781259,8.074534161490684
12,1785843273.845566,846,1800000,100000,6,163,846,9306,3753,3291,1388,1903,463,1443,8663.480508962435,0.04082858666666669,0.1233679722888356,0.7741215839375348,0.42175630507444545,0.5333333333333333,90,42,48,5.190184049079755,0.876898481215028,8.515337423312884
12,1785843274.846636,576,1800000,100000,6,164,576,6336,3289,3069,1337,1732,220,1324,5452.358491516225,0.027798186666666683,0.06688963210702341,0.741130820399113,0.43564679048550015,0.4,90,54,36,3.5121951219512195,0.9331103678929766,8.152439024390244
12,1785843276.0576582,724,1800000,100000,6,163,724,7964,4444,3663,1437,2226,781,1666,6875.383200822407,0.034940776296296314,0.17574257425742573,0.8014500836586727,0.3923013923013923,0.28888888888888886,90,64,26,4.441717791411043,0.8242574257425742,8.815950920245399
12,1785843277.237804,834,1800000,100000,6,163,834,9174,3988,3328,1377,1951,661,1448,7184.284309009744,0.040249457777777796,0.16574724172517552,0.7679866146123815,0.4137620192307692,0.4,90,54,36,5.116564417177914,0.8345035105315948,8.447852760736197
12,1785843279.241715,760,1800000,100000,6,163,760,8360,4436,3622,1436,2186,817,1628,6459.986821072709,0.03667816296296299,0.18417493237150587,0.8008923591745678,0.3964660408614025,0.3111111111111111,90,62,28,4.662576687116564,0.8165013525698828,8.809815950920246
12,1785843280.5002859,778,1800000,100000,6,164,778,8558,4268,3514,1435,2079,755,1565,6517.460228300757,0.03754685629629632,0.1768978444236176,0.7954545454545454,0.40836653386454186,0.3333333333333333,90,60,30,4.7439024390243905,0.823336457357076,8.75
12,1785843281.671799,583,1800000,100000,6,163,583,6413,3696,3518,1407,2111,178,1607,6227.788085999179,0.028136011851851862,0.04816017316017316,0.7847183491355271,0.3999431495167709,0.17777777777777778,90,74,16,3.576687116564417,0.9518398268398268,8.631901840490798
14,1785843283.4301271,985,1800000,100000,6,191,985,12805,6195,5156,2046,3110,1042,2362,8321.86396720844,0.04074585396825399,0.1682001614205004,0.8240032219089811,0.39681923972071376,0.4090909090909091,132,78,54,5.157068062827225,0.8322841000807103,10.712041884816754
14,1785843285.1218119,979,1800000,100000,6,189,979,12727,5954,4837,1892,2945,1119,2282,9949.168438027476,0.040497655873015896,0.18794088008061807,0.77004477004477,0.3911515402108745,0.3787878787878788,132,82,50,5.1798941798941796,0.8123950285522338,10.010582010582011
14,1785843286.906819,857,1800000,100000,6,190,857,11141,6603,5647,2085,3562,956,2673,8775.695216988457,0.035450961269841284,0.1447826745418749,0.8441295546558705,0.36922259606870905,0.22727272727272727,132,102,30,4.510526315789473,0.8552173254581251,10.973684210526315
14,1785843288.610764,699,1800000,100000,6,191,699,9087,6483,5913,2097,3816,501,2819,8565.416916950378,0.028666880000000016,0.07727903748264692,0.8445428916633105,0.3546423135464231,0.10606060606060606,132,118,14,3.6596858638743455,0.91207774178621,10.979057591623036
14,1785843290.509838,1055,1800000,100000,6,189,1055,13715,6422,5079,1997,3082,1343,2334,10275.267826112522,0.043641498412698425,0.20912488321395203,0.8127798127798128,0.3931876353612916,0.42424242424242425,132,76,56,5.582010582010582,0.7908751167860479,10.566137566137566
14,1785843292.321985,980,1800000,100000,6,191,980,12740,6255,5073,2033,3040,1182,2327,8747.261055233177,0.04053902222222224,0.18896882494004796,0.8187676198147402,0.40074906367041196,0.3333333333333333,132,88,44,5.130890052356021,0.811031175059952,10.643979057591624
14,1785843294.1869922,786,1800000,100000,6,191,786,10218,6342,5499,2079,3420,843,2666,6516.509887622489,0.03251395047619049,0.13292336802270577,0.8372935964559001,0.3780687397708674,0.19696969696969696,132,106,26,4.115183246073299,0.8670766319772942,10.884816753926701
14,1785843296.263808,822,1800000,100000,6,190,822,10686,6319,5526,2079,3447,797,2668,8498.943338639949,0.03400313904761906,0.12612755182782084,0.8417004048582996,0.3762214983713355,0.25757575757575757,132,98,34,4.326315789473684,0.87450545972464,10.942105263157895
14,1785843299.2433972,748,1800000,100000,6,191,748,9724,6357,5627,2091,3536,730,2663,7752.509410791479,0.030942029206349225,0.11483404121440931,0.842126459927507,0.3716012084592145,0.15151515151515152,132,112,20,3.9162303664921465,0.8851659587855907,10.947643979057592
14,1785843301.361511,876,1800000,100000,6,188,876,11388,6429,5279,2009,3270,1150,2491,8062.718373383834,0.03623692190476192,0.17887696375797169,0.8220130932896891,0.38056450085243415,0.2727272727272727,132,96,36,4.659574468085107,0.8211230362420283,10.686170212765957
14,1785843303.27835,1005,1800000,100000,6,190,1005,13065,5836,4774,2000,2774,1065,2199,8321.67002539217,0.041573180952380974,0.18248800548320768,0.8097165991902834,0.41893590280687054,0.4393939393939394,132,74,58,5.2894736842105265,0.8180260452364634,10.526315789473685
14,1785843305.1880698,956,1800000,100000,6,189,956,12428,5771,5007,1945,3062,764,2401,10433.784026716045,0.03954622984126986,0.13238606827239646,0.7916157916157917,0.3884561613740763,0.36363636363636365,132,84,48,5.058201058201059,0.8676139317276035,10.291005291005291
14,1785843307.191215,909,1800000,100000,6,190,909,11817,6577,5274,2016,3258,1303,2500,10102.136180254549,0.03760201142857145,0.19811464193401246,0.8161943319838056,0.3822525597269625,0.2878787878787879,132,94,38,4.78421052631579,0.8018853580659875,10.610526315789473
14,1785843309.1803598,916,1800000,100000,6,190,916,11908,6957,5518,2057,3461,1440,2657,8973.232066922732,0.03789157587301589,0.2069857697283312,0.8327935222672065,0.3727799927509967,0.22727272727272727,132,102,30,4.821052631578947,0.7931579703895357,10.826315789473684
