number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,5,5,5,1785781181.444484,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2800.897426704995,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,5,5,5,1785781182.285033,98,1800000,100000,6,48,98,392,194,192,96,96,2,49,2313.7209935821634,0.011350926222222226,0.010309278350515464,0.5,0.5,0.0,6,6,0,2.0416666666666665,0.9896907216494846,2.0
5,5,5,5,1785781183.060533,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2270.912901174476,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,5,5,5,1785781183.842954,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2545.3196439518965,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
7,7,7,7,1785781184.703124,167,1800000,100000,6,82,167,1002,668,668,328,340,0,256,3031.9665169962555,0.013816360634920642,0.0,0.6666666666666666,0.49101796407185627,0.0,20,20,0,2.0365853658536586,1.0,4.0
7,7,7,7,1785781185.5481129,168,1800000,100000,6,82,168,1008,672,672,328,344,0,255,2931.4674038997396,0.013899093333333341,0.0,0.6666666666666666,0.4880952380952381,0.0,20,20,0,2.048780487804878,1.0,4.0
7,7,7,7,1785781186.409719,171,1800000,100000,6,82,171,1026,682,678,328,350,4,254,3273.912532353592,0.014147291428571435,0.005865102639296188,0.6666666666666666,0.4837758112094395,0.0,20,20,0,2.0853658536585367,0.9941348973607038,4.0
7,7,7,7,1785781187.2719822,171,1800000,100000,6,82,171,1026,682,678,328,350,4,255,3293.1914461769684,0.014147291428571435,0.005865102639296188,0.6666666666666666,0.4837758112094395,0.0,20,20,0,2.0853658536585367,0.9941348973607038,4.0
7,7,7,7,1785781188.173103,170,1800000,100000,6,82,170,1020,678,672,328,344,6,260,3188.052827121097,0.014064558730158737,0.008849557522123894,0.6666666666666666,0.4880952380952381,0.0,20,20,0,2.073170731707317,0.9911504424778761,4.0
7,7,7,7,1785781189.013599,170,1800000,100000,6,83,170,1020,676,672,332,340,4,255,2534.1260396459134,0.014064558730158737,0.005917159763313609,0.6666666666666666,0.49404761904761907,0.0,20,20,0,2.0481927710843375,0.9940828402366864,4.0
7,7,7,7,1785781189.854762,172,1800000,100000,6,83,172,1032,686,681,332,349,5,262,3355.3282170689235,0.014230024126984134,0.007288629737609329,0.6666666666666666,0.48751835535976507,0.0,20,20,0,2.072289156626506,0.9927113702623906,4.0
7,7,7,7,1785781190.687495,171,1800000,100000,6,83,171,1026,684,684,332,352,0,255,3535.7588176336153,0.014147291428571435,0.0,0.6666666666666666,0.4853801169590643,0.0,20,20,0,2.0602409638554215,1.0,4.0
7,7,7,7,1785781191.5240252,175,1800000,100000,6,83,175,1050,692,674,332,342,18,255,2626.5600116343794,0.014478222222222229,0.02601156069364162,0.6666666666666666,0.49258160237388726,0.0,20,20,0,2.108433734939759,0.9739884393063584,4.0
7,7,7,7,1785781192.359987,166,1800000,100000,6,82,166,996,664,664,328,336,0,254,3100.697324009629,0.013733627936507944,0.0,0.6666666666666666,0.4939759036144578,0.0,20,20,0,2.024390243902439,1.0,4.0
7,7,7,7,1785781193.217719,175,1800000,100000,6,83,175,1050,694,682,332,350,12,258,3172.638496244191,0.014478222222222229,0.01729106628242075,0.6666666666666666,0.4868035190615836,0.0,20,20,0,2.108433734939759,0.9827089337175793,4.0
7,7,7,7,1785781194.092443,170,1800000,100000,6,82,170,1020,680,680,328,352,0,268,3534.0466169557553,0.014064558730158737,0.0,0.6666666666666666,0.4823529411764706,0.0,20,20,0,2.073170731707317,1.0,4.0
7,7,7,7,1785781195.0007539,167,1800000,100000,6,82,167,1002,664,658,328,330,6,245,2512.1468325474216,0.013816360634920642,0.009036144578313253,0.6666666666666666,0.49848024316109424,0.0,20,20,0,2.0365853658536586,0.9909638554216867,4.0
7,7,7,7,1785781195.9030468,173,1800000,100000,6,82,173,1038,686,671,328,343,15,249,2921.89965930953,0.014312756825396834,0.021865889212827987,0.6666666666666666,0.488822652757079,0.0,20,20,0,2.1097560975609757,0.978134110787172,4.0
7,7,7,7,1785781196.8493881,176,1800000,100000,6,83,176,1056,693,679,332,347,14,252,2676.298696588505,0.014560954920634929,0.020202020202020204,0.6666666666666666,0.4889543446244477,0.0,20,20,0,2.1204819277108435,0.9797979797979798,4.0
7,7,7,7,1785781197.706731,170,1800000,100000,6,83,170,1020,678,672,332,340,6,254,2626.1614362009723,0.014064558730158737,0.008849557522123894,0.6666666666666666,0.49404761904761907,0.0,20,20,0,2.0481927710843375,0.9911504424778761,4.0
7,7,7,7,1785781198.651219,173,1800000,100000,6,83,173,1038,688,676,332,344,12,261,3058.131137087789,0.014312756825396834,0.01744186046511628,0.6666666666666666,0.4911242603550296,0.0,20,20,0,2.0843373493975905,0.9825581395348837,4.0
7,7,7,7,1785781199.65801,167,1800000,100000,6,82,167,1002,664,656,328,328,8,246,2292.6261164146727,0.013816360634920642,0.012048192771084338,0.6666666666666666,0.5,0.0,20,20,0,2.0365853658536586,0.9879518072289156,4.0
7,7,7,7,1785781200.527031,173,1800000,100000,6,83,173,1038,687,674,332,342,9,253,2967.1836043631765,0.014230024126984134,0.013100436681222707,0.6666666666666666,0.49258160237388726,0.0,20,20,0,2.0843373493975905,0.9810771470160117,4.0
7,7,7,7,1785781201.3664021,168,1800000,100000,6,82,168,1008,672,672,328,344,0,255,3174.949676623979,0.013899093333333341,0.0,0.6666666666666666,0.4880952380952381,0.0,20,20,0,2.048780487804878,1.0,4.0
10,10,10,10,1785781202.654479,277,1800000,100000,6,131,277,2493,1935,1920,917,1003,15,833,4178.9103000651685,0.016041870222222226,0.007751937984496124,0.7777777777777778,0.47760416666666666,0.0,56,56,0,2.114503816793893,0.9922480620155039,7.0
10,10,10,10,1785781203.7883341,279,1800000,100000,6,131,279,2511,1940,1905,917,988,35,815,3325.005436503407,0.016157696000000006,0.01804123711340206,0.7777777777777778,0.48136482939632547,0.0,56,56,0,2.1297709923664123,0.9819587628865979,7.0
10,10,10,10,1785781204.9172978,289,1800000,100000,6,130,289,2601,2013,1979,910,1069,34,874,5514.863890779107,0.016736824888888897,0.01689021361152509,0.7777777777777778,0.45982819605861547,0.0,56,56,0,2.223076923076923,0.9831097863884749,7.0
