simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
14,1,334.83247481264084,207.72977479574052,1.0,CLIENT,7,2,100000,17,30,0,73,73,73,0,31,21,31272.960000000014,2,False,False
14,2,481.5345677035497,102.42105479585149,1.0,CLIENT,7,2,100000,15,30,0,73,73,73,0,33,21,31272.960000000014,2,False,False

15,0,-247.69840592166673,-427.9074252043205,1.0,CLIENT,7,2,100000,16,31,0,67,68,67,0,32,19,32315.392000000014,2,False,False
15,1,-56.00344652846903,-320.70626520446353,1.0,CLIENT,7,2,100000,17,24,0,74,75,74,0,31,26,25018.36800000001,2,False,False
15,2,136.64206638223203,312.03661479578614,1.0,CLIENT,7,2,100000,15,44,0,55,55,53,2,33,6,45867.00800000002,2,False,False

16,0,161.03960666894602,-59.99482520460447,1.0,CLIENT,7,2,100000,16,40,0,56,56,56,0,32,8,41697.28000000002,2,False,False
16,1,342.0408389885423,410.44349479569917,1.0,CLIENT,7,2,100000,17,29,0,67,67,67,0,31,19,30230.528000000013,2,False,False
16,2,5.465680946504772,468.32989479588065,1.0,CLIENT,7,2,100000,15,27,0,69,69,69,0,33,21,28145.66400000001,2,False,False

17,0,395.27183597717357,-429.3545852046216,1.0,CLIENT,7,2,100000,16,31,0,66,67,66,0,32,18,32315.392000000014,2,False,False
17,1,-184.40738420462384,-130.79434520461348,1.0,CLIENT,7,2,100000,17,29,0,68,69,68,0,31,20,30230.528000000013,2,False,False
17,2,399.62853959943925,315.15357479582633,1.0,CLIENT,7,2,100000,15,38,0,60,60,58,2,33,11,39612.41600000002,2,False,False

18,0,-109.313656310038,-216.39942520441792,1.0,CLIENT,7,2,100000,16,21,0,75,75,75,0,32,27,21891.072000000007,2,False,False
18,1,-152.2469901908819,312.4818947954529,1.0,CLIENT,7,2,100000,17,32,0,64,64,64,0,31,16,33357.824000000015,2,False,False
18,2,464.3453915927372,-148.93950520467797,1.0,CLIENT,7,2,100000,15,43,0,53,53,53,0,33,5,44824.57600000002,2,False,False

19,0,216.72620024483626,49.2100947957303,1.0,CLIENT,7,2,100000,16,31,0,65,65,65,0,32,17,32315.392000000014,2,False,False
19,1,147.73185742164748,141.9396547957396,1.0,CLIENT,7,2,100000,17,26,0,70,70,70,0,31,22,27103.23200000001,2,False,False
19,2,-358.20025234831866,241.459734796006,1.0,CLIENT,7,2,100000,15,39,0,57,57,57,0,33,9,40654.84800000002,2,False,False

20,0,-102.42214330701289,142.60757479563523,1.0,CLIENT,7,2,100000,16,29,0,138,138,138,0,66,56,30230.528000000013,4,False,False
20,1,314.0787230106278,187.80349479542707,1.0,CLIENT,7,2,100000,17,27,0,140,140,140,0,65,58,28145.66400000001,4,False,False
20,2,84.91611246335628,350.7759747952687,1.0,CLIENT,7,2,100000,15,28,0,139,139,139,0,67,56,29188.096000000012,4,False,False
20,3,328.0993873960539,-152.94702520405167,1.0,CLIENT,7,2,100000,16,50,0,117,117,117,0,66,35,52121.60000000003,4,False,False
20,4,-49.191146318381584,264.2803347953398,1.0,CLIENT,7,2,100000,18,33,0,134,134,134,0,64,51,34400.256000000016,4,False,False

21,0,-272.49201017363185,-307.1252252047404,1.0,CLIENT,7,2,100000,16,30,0,138,138,138,0,66,54,31272.960000000014,4,False,False
21,1,483.5941003255574,-392.17370520436816,1.0,CLIENT,7,2,100000,17,41,0,127,127,127,0,65,43,42739.71200000002,4,False,False
21,2,401.21279546213253,96.74373479594777,1.0,CLIENT,7,2,100000,15,24,0,144,144,144,0,67,61,25018.36800000001,4,False,False
21,3,251.4214036387748,-302.89506520434685,1.0,CLIENT,7,2,100000,16,28,0,140,140,140,0,66,59,29188.096000000012,4,False,False
21,4,-224.96433429114649,203.2769747959091,1.0,CLIENT,7,2,100000,18,45,0,123,123,123,0,64,38,46909.440000000024,4,False,False

22,0,-232.72718801873728,-197.92030520440562,1.0,CLIENT,7,2,100000,16,28,0,143,143,142,1,66,54,29188.096000000012,4,False,False
22,1,-205.7156255583262,50.32329479529267,1.0,CLIENT,7,2,100000,17,25,0,146,146,144,2,65,60,26060.80000000001,4,False,False
