timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate
1779816052.636111,4171406881,!dadfb03c,-88,5.5,38.066,1.4705882352941175
1779816052.736107,871191074,!dadfb03c,-95,3.75,33.062,2.898550724637681
1779816052.835534,2447731235,!dadfb03c,-93,4.5,28.057,4.285714285714286
1779816052.9334688,3254407716,!dadfb03c,-95,5.0,23.051,5.633802816901409
1779816053.084625,3697861157,!dadfb03c,-94,6.25,18.098,6.944444444444445
1779816053.185569,2852078118,!dadfb03c,-86,5.75,13.095,8.21917808219178
1779816053.333775,2057546279,!dadfb03c,-89,4.0,8.139,9.45945945945946
1779816053.484098,551706152,!dadfb03c,-88,6.0,3.186,10.666666666666668
1779816062.1353579,3797565994,!dadfb03c,-99,5.25,1.629,11.688311688311687
1779816067.185281,2730703403,!dadfb03c,-95,4.5,1.575,12.82051282051282
1779816072.339288,2614854188,!dadfb03c,-94,4.0,1.625,13.924050632911392
1779816077.6347609,2363223597,!dadfb03c,-90,4.75,1.817,15.0
1779816082.487267,4123499054,!dadfb03c,-92,5.25,1.565,16.049382716049383
1779816087.786973,2882066991,!dadfb03c,-90,5.5,1.761,17.073170731707318
1779816092.637698,841214512,!dadfb03c,-93,5.5,1.508,18.072289156626507
1779816097.987405,3900055089,!dadfb03c,-97,5.5,1.753,19.047619047619047
1779816102.9864802,3429344818,!dadfb03c,-94,2.5,1.648,20.0
1779816108.1377869,207479347,!dadfb03c,-94,6.0,1.696,20.930232558139537
1779816113.333704,3628912180,!dadfb03c,-86,5.25,1.788,21.839080459770116
1779816118.3377888,388063797,!dadfb03c,-91,5.25,1.687,22.727272727272727
1779816123.485131,1446135350,!dadfb03c,-85,5.0,1.731,23.595505617977526
1779816128.488789,820908599,!dadfb03c,-93,3.75,1.63,24.444444444444443
1779816133.537615,1993282104,!dadfb03c,-93,4.75,1.575,25.274725274725274
1779816138.68969,937186873,!dadfb03c,-89,5.25,1.623,26.08695652173913
1779816143.9349709,1663543866,!dadfb03c,-91,5.0,1.765,26.881720430107524
1779816148.9855201,3604525627,!dadfb03c,-85,6.0,1.711,27.659574468085108
1779816154.133474,2030918204,!dadfb03c,-93,5.5,1.755,28.421052631578945
1779816159.0387158,3075258941,!dadfb03c,-89,6.0,1.557,29.166666666666668
1779816164.188103,3221981758,!dadfb03c,-86,5.5,1.602,29.896907216494846
1779816169.3350148,1176568383,!dadfb03c,-78,6.0,1.645,30.612244897959183
1779816174.534809,9872960,!dadfb03c,-86,6.0,1.741,31.313131313131315
1779816179.445277,654836289,!dadfb03c,-87,6.0,1.547,32.0
1779816184.685518,1849605698,!dadfb03c,-91,6.0,1.684,32.67326732673268
1779816189.9863338,1190439491,!dadfb03c,-92,5.5,1.881,33.33333333333333
1779816194.935246,857133636,!dadfb03c,-91,5.5,1.725,33.980582524271846
1779816199.937889,1853336133,!dadfb03c,-93,5.0,1.624,34.61538461538461
1779816205.287159,824319558,!dadfb03c,-95,5.25,1.869,35.23809523809524
1779816210.136402,2199031367,!dadfb03c,-90,4.5,1.615,35.84905660377358
1779816215.438422,2285300296,!dadfb03c,-90,6.75,1.813,36.44859813084112
1779816220.287824,3521016393,!dadfb03c,-91,5.75,1.558,37.03703703703704
1779816225.5355022,2800879178,!dadfb03c,-91,5.25,1.702,37.61467889908257
1779816230.5865998,4241149515,!dadfb03c,-94,5.5,1.649,38.18181818181819
1779816235.7870238,3279288908,!dadfb03c,-91,5.75,1.746,38.73873873873874
1779816240.691473,3227335245,!dadfb03c,-97,3.75,1.546,39.285714285714285
1779816245.986389,2603694670,!dadfb03c,-87,5.25,1.737,39.823008849557525
1779816251.037293,3801351759,!dadfb03c,-89,5.0,1.684,40.35087719298245
1779816256.141742,323287632,!dadfb03c,-97,3.75,1.684,40.869565217391305
1779816266.340965,1909515858,!dadfb03c,-84,5.5,1.675,41.02564102564102
1779816271.387557,1964389971,!dadfb03c,-78,5.75,1.618,41.52542372881356
1779816276.540606,3005958740,!dadfb03c,-78,6.5,1.667,42.016806722689076
