
1,1781809319.4324555,-142,-15.5
2,1781809328.0495906,-140,-14.75
3,1781809335.1556056,-140,-15.0
5,1781809339.8474793,-140,-14.5
7,1781809351.2007325,-141,-16.0
8,1781809357.0658522,-141,-16.0
9,1781809360.509122,-141,-16.0
11,1781809372.288513,-141,-16.25
14,1781809385.9164214,-143,-17.5
15,1781809392.609534,-139,-13.5
16,1781809395.881506,-137,-11.25
17,1781809400.9738407,-138,-12.25
18,1781809406.424476,-136,-11.25
19,1781809411.2544224,-138,-13.25
20,1781809416.5271657,-135,-9.75
21,1781809422.0984924,-140,-14.75
23,1781809431.604707,-130,-5.0
24,1781809436.6274197,-136,-11.25
26,1781809445.5813959,-133,-8.25
27,1781809453.3335588,-140,-15.25
28,1781809457.0545971,-130,-5.5
30,1781809467.2085679,-140,-13.5
31,1781809472.6176667,-137,-11.25
32,1781809477.6539905,-139,-13.5
33,1781809482.4867826,-139,-14.25
34,1781809487.779654,-134,-9.25
36,1781809498.294016,-134,-8.0
40,1781809518.5642843,-134,-8.0
41,1781809523.8177667,-133,-7.75
46,1781809551.5294638,-143,-17.5
48,1781809560.3239183,-140,-13.75
49,1781809565.3294742,-141,-16.0
50,1781809570.3600068,-140,-15.0
