number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,average_nodes_reached,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,1785623218.7687,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2542.6871439518955,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,1785623219.261284,97,1800000,100000,6,48,97,388,192,191,96,95,1,47,2464.807971093198,0.01123510044444445,0.005208333333333333,0.5,0.5026178010471204,0.0,6,6,0,2.0208333333333335,0.9947916666666666,2.0
5,1785623219.729266,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2306.5817491043194,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,1785623220.2132359,98,1800000,100000,6,48,98,392,195,195,96,99,0,50,2552.8342453563173,0.011350926222222226,0.0,0.5,0.49230769230769234,0.0,6,6,0,2.0416666666666665,1.0,2.0
5,1785623220.6893282,97,1800000,100000,6,48,97,388,194,194,96,98,0,49,2784.3074301759953,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,1785623221.1726642,96,1800000,100000,6,48,96,384,192,192,96,96,0,48,2325.533035039143,0.011119274666666672,0.0,0.5,0.5,0.0,6,6,0,2.0,1.0,2.0
5,1785623221.659476,103,1800000,100000,6,48,103,412,199,199,96,103,0,50,2561.9675924650373,0.011930055111111115,0.0,0.5,0.4824120603015075,0.0,6,6,0,2.1458333333333335,1.0,2.0
5,1785623222.127028,99,1800000,100000,6,48,99,396,198,198,96,102,0,51,3372.115959999456,0.011466752000000005,0.0,0.5,0.48484848484848486,0.0,6,6,0,2.0625,1.0,2.0
5,1785623222.6095638,97,1800000,100000,6,48,97,388,194,194,96,98,0,51,2942.8056306099675,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,1785623223.088151,98,1800000,100000,6,48,98,392,193,192,96,96,1,47,2209.087249104324,0.011350926222222226,0.0051813471502590676,0.5,0.5,0.0,6,6,0,2.0416666666666665,0.9948186528497409,2.0
5,1785623223.5630999,97,1800000,100000,6,48,97,388,194,194,96,98,0,49,2731.3391855037,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,1785623224.042572,99,1800000,100000,6,48,99,396,196,195,96,99,1,48,3071.8978127201985,0.011466752000000005,0.00510204081632653,0.5,0.49230769230769234,0.0,6,6,0,2.0625,0.9948979591836735,2.0
5,1785623224.5225,97,1800000,100000,6,48,97,388,194,194,96,98,0,49,2686.2864340546416,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,1785623224.991222,104,1800000,100000,6,48,104,416,208,208,96,112,0,59,4454.963615011838,0.012045880888888895,0.0,0.5,0.46153846153846156,0.0,6,6,0,2.1666666666666665,1.0,2.0
5,1785623225.4571881,104,1800000,100000,6,48,104,416,208,208,96,112,0,59,4454.963615011838,0.012045880888888895,0.0,0.5,0.46153846153846156,0.0,6,6,0,2.1666666666666665,1.0,2.0
5,1785623225.9329212,101,1800000,100000,6,48,101,404,202,202,96,106,0,58,4041.1891558404373,0.01169840355555556,0.0,0.5,0.4752475247524752,0.0,6,6,0,2.1041666666666665,1.0,2.0
5,1785623226.3998132,99,1800000,100000,6,48,99,396,196,195,96,99,1,49,3284.598676500639,0.011466752000000005,0.00510204081632653,0.5,0.49230769230769234,0.0,6,6,0,2.0625,0.9948979591836735,2.0
5,1785623226.8620439,97,1800000,100000,6,48,97,388,194,194,96,98,0,51,3010.0545879969727,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,1785623227.3252978,110,1800000,100000,6,48,110,440,220,220,96,124,0,67,5792.013753256338,0.01274083555555556,0.0,0.5,0.43636363636363634,0.0,6,6,0,2.2916666666666665,1.0,2.0
