simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
0,0,-15.367283649008735,-222.85598520472718,1.0,CLIENT,7,2,100000,16,30,0,66,66,66,0,32,18,31272.960000000014,2,False,False
0,1,125.0769985840649,-80.58902520402256,1.0,CLIENT,7,2,100000,17,26,0,70,70,70,0,31,22,27103.23200000001,2,False,False
0,2,-66.69717360207046,406.7699347954823,1.0,CLIENT,7,2,100000,15,40,0,56,56,56,0,33,8,41697.28000000002,2,False,False

1,0,181.9517840573972,-127.67738520457328,1.0,CLIENT,7,2,100000,16,25,0,71,72,71,0,32,23,26060.80000000001,2,False,False
1,1,209.67626165537297,315.9328147954409,1.0,CLIENT,7,2,100000,17,35,0,61,62,61,0,31,13,36485.12000000002,2,False,False
1,2,-379.3500681161457,-78.69658520405466,1.0,CLIENT,7,2,100000,15,37,0,60,60,59,1,33,11,38569.98400000002,2,False,False

2,0,-416.3424425114678,361.0174147955138,1.0,CLIENT,7,2,100000,16,44,0,52,52,52,0,32,4,45867.00800000002,2,False,False
2,1,340.1397319529727,94.51733479524108,1.0,CLIENT,7,2,100000,17,28,0,68,68,68,0,31,20,29188.096000000012,2,False,False
2,2,150.1874540089064,502.05985479535514,1.0,CLIENT,7,2,100000,15,24,0,72,72,72,0,33,24,25018.36800000001,2,False,False

3,0,-254.35228054531598,-495.14470520462254,1.0,CLIENT,7,2,100000,16,26,0,72,72,72,0,32,23,27103.23200000001,2,False,False
3,1,-363.586722282151,-406.20002520454904,1.0,CLIENT,7,2,100000,17,25,0,73,73,73,0,31,24,26060.80000000001,2,False,False
3,2,-487.3171051631639,497.16177479585696,1.0,CLIENT,7,2,100000,15,47,0,50,51,50,0,33,3,48994.304000000026,2,False,False

4,0,251.8174676045888,-431.58098520453734,1.0,CLIENT,7,2,100000,16,26,0,71,71,71,0,32,23,27103.23200000001,2,False,False
4,1,-275.2644579332043,-122.66798520456518,1.0,CLIENT,7,2,100000,17,43,0,54,54,54,0,31,6,44824.57600000002,2,False,False
4,2,237.87601601210042,-224.63710520418516,1.0,CLIENT,7,2,100000,15,28,0,69,69,69,0,33,20,29188.096000000012,2,False,False

5,0,481.05929094479797,-187.01094520426494,1.0,CLIENT,7,2,100000,16,34,0,62,62,62,0,32,14,35442.68800000002,2,False,False
5,1,-56.716361666596555,134.81517479553474,1.0,CLIENT,7,2,100000,17,31,0,65,65,65,0,31,17,32315.392000000014,2,False,False
5,2,-44.27995314386372,-401.85854520443655,1.0,CLIENT,7,2,100000,15,31,0,65,65,65,0,33,17,32315.392000000014,2,False,False

6,0,-320.41575002193133,146.05849479562323,1.0,CLIENT,7,2,100000,16,22,0,81,81,81,0,32,28,22933.504000000008,2,False,False
6,1,-392.0241150182544,-461.97134520453375,1.0,CLIENT,7,2,100000,17,38,0,61,65,61,0,31,13,39612.41600000002,2,False,False
6,2,232.0934821135797,490.59389479582876,1.0,CLIENT,7,2,100000,15,43,0,57,60,57,0,33,9,44824.57600000002,2,False,False

7,0,282.07675458332403,241.34841479549607,1.0,CLIENT,7,2,100000,16,22,0,77,77,77,0,32,27,22933.504000000008,2,False,False
7,1,87.05485787830172,279.419854795874,1.0,CLIENT,7,2,100000,17,36,0,63,63,63,0,31,16,37527.55200000002,2,False,False
7,2,441.53210716927924,-176.32422520435313,1.0,CLIENT,7,2,100000,15,41,0,58,58,58,0,33,8,42739.71200000002,2,False,False

8,0,270.03641002640524,-146.8244252044812,1.0,CLIENT,7,2,100000,16,37,0,60,60,60,0,32,12,38569.98400000002,2,False,False
8,1,-356.2199325198114,-129.01322520436452,1.0,CLIENT,7,2,100000,17,33,0,64,64,64,0,31,16,34400.256000000016,2,False,False
