timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate
1779821568.681632,3237659547,!dadfb03c,-75,8.75,20.082,100.0
1779821568.982025,461602716,!dadfb03c,-77,8.0,15.276,100.0
1779821569.2813911,913736605,!dadfb03c,-75,8.5,10.472,100.0
1779821569.482999,4037768094,!dadfb03c,-71,7.25,5.57,100.0
1779821572.632243,3511846815,!dadfb03c,-79,6.5,3.615,100.0
1779821578.4323971,1238600608,!dadfb03c,-73,9.25,4.311,100.0
1779821583.684927,2516285345,!dadfb03c,-75,8.5,4.46,100.0
1779821588.035409,470597538,!dadfb03c,-75,7.75,3.707,100.0
1779821592.986275,3641249699,!dadfb03c,-79,7.0,3.554,100.0
1779821598.432126,2762839972,!dadfb03c,-86,7.5,3.895,100.0
1779821613.5347688,3908677543,!dadfb03c,-84,8.25,3.687,84.61538461538461
1779821618.632361,1752058792,!dadfb03c,-94,6.5,3.681,85.71428571428571
1779821623.734451,2181800873,!dadfb03c,-83,7.25,3.679,86.66666666666667
1779821629.1339982,2574697386,!dadfb03c,-83,8.0,3.974,87.5
1779821634.0972679,3912385451,!dadfb03c,-81,9.5,3.834,88.23529411764706
1779821639.434274,2769293228,!dadfb03c,-79,7.75,4.067,88.88888888888889
1779821644.1327438,3712448429,!dadfb03c,-81,7.5,3.662,89.47368421052632
1779821649.582877,3465399214,!dadfb03c,-82,9.0,4.008,90.0
1779821664.391489,2392186801,!dadfb03c,-79,8.75,3.505,82.6086956521739
1779821669.833463,3385778098,!dadfb03c,-74,10.5,3.843,83.33333333333334
1779821674.933762,1257696179,!dadfb03c,-74,8.5,3.839,84.0
1779821680.0335412,1420865460,!dadfb03c,-74,11.0,3.835,84.61538461538461
1779821685.483019,2353046453,!dadfb03c,-74,10.25,4.18,85.18518518518519
1779821690.8338728,4094132150,!dadfb03c,-76,10.0,4.427,85.71428571428571
1779821695.085697,2558317495,!dadfb03c,-76,10.75,3.575,86.20689655172413
1779821700.133888,1071550392,!dadfb03c,-92,7.0,3.519,86.66666666666667
1779821705.6842399,2890862521,!dadfb03c,-82,9.75,3.966,87.09677419354838
1779821710.434599,944495546,!dadfb03c,-80,10.5,3.612,87.5
1779821715.5351338,4105186235,!dadfb03c,-91,9.0,3.609,87.87878787878788
1779821721.000149,2759728060,!dadfb03c,-89,10.0,3.97,88.23529411764706
1779821726.085423,1351821245,!dadfb03c,-86,9.75,3.951,88.57142857142857
1779821736.286358,1263279039,!dadfb03c,-82,8.75,3.944,86.48648648648648
1779821741.18499,4280823744,!dadfb03c,-84,8.25,3.739,86.8421052631579
1779821752.2353559,40182722,!dadfb03c,-90,7.25,4.581,85.0
1779821757.48804,3741517763,!dadfb03c,-81,7.0,4.73,85.36585365853658
1779821762.136815,3517861828,!dadfb03c,-82,7.75,4.275,85.71428571428571
1779821766.885184,38092741,!dadfb03c,-84,7.0,3.92,86.04651162790698
1779821772.587594,4152230854,!dadfb03c,-81,8.0,4.519,86.36363636363636
1779821776.8358989,750953415,!dadfb03c,-79,7.75,3.663,86.66666666666667
1779821781.690421,3729295304,!dadfb03c,-76,7.25,3.414,86.95652173913044
1779821787.387651,2438288329,!dadfb03c,-76,7.25,4.007,87.2340425531915
1779821791.940366,396286922,!dadfb03c,-72,7.25,3.456,87.5
