timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate

1779818768.381387,3224443933,!dadfb03c,-100,4.75,2.857,100.0
1779818773.330295,2919138334,!dadfb03c,-97,5.75,2.699,100.0
1779818778.380693,4066337823,!dadfb03c,-95,6.0,2.645,100.0
1779818783.679125,2844396576,!dadfb03c,-103,4.75,2.84,100.0
1779818788.6932611,3612400673,!dadfb03c,-98,6.0,2.75,100.0
1779818793.731902,549329954,!dadfb03c,-98,5.5,2.685,100.0
1779818798.780173,4105448483,!dadfb03c,-98,5.0,2.629,100.0
1779818803.933613,2168427556,!dadfb03c,-108,4.0,2.678,100.0
1779818809.131754,1045844005,!dadfb03c,-95,6.0,2.772,100.0
1779818814.181199,432419878,!dadfb03c,-105,5.75,2.718,100.0
1779818819.1833842,1422245927,!dadfb03c,-106,4.5,2.616,100.0
1779818824.331739,1888587816,!dadfb03c,-96,5.5,2.661,100.0
1779818829.484156,2227289129,!dadfb03c,-99,6.0,2.709,100.0
1779818834.4343228,2881714218,!dadfb03c,-107,5.5,2.555,100.0
1779818839.63203,3986194475,!dadfb03c,-93,6.25,2.649,100.0
1779818844.685784,3274551340,!dadfb03c,-92,5.75,2.599,100.0
1779818849.982039,336866349,!dadfb03c,-105,5.25,2.791,100.0
1779818854.982054,3431004206,!dadfb03c,-99,6.25,2.687,100.0
1779818860.0357828,156660783,!dadfb03c,-100,4.25,2.637,100.0
1779818865.032276,1444422704,!dadfb03c,-94,6.25,2.529,100.0
1779818870.184605,3606425649,!dadfb03c,-101,5.75,2.578,100.0
1779818880.584623,1644884019,!dadfb03c,-103,5.25,2.77,95.65217391304348
1779818885.582425,2216901684,!dadfb03c,-98,5.25,2.663,95.83333333333334
1779818890.585092,72353845,!dadfb03c,-108,3.25,2.562,96.0
1779818895.731122,2089105462,!dadfb03c,-103,5.5,2.604,96.15384615384616
1779818900.8838289,395422775,!dadfb03c,-97,5.5,2.653,96.29629629629629
1779818905.882272,3726074936,!dadfb03c,-94,5.75,2.548,96.42857142857143
1779818911.037529,2570906681,!dadfb03c,-97,5.5,2.599,96.55172413793103
1779818916.183137,3716871226,!dadfb03c,-97,5.5,2.641,96.66666666666667
1779818921.23358,776960059,!dadfb03c,-97,6.0,2.587,96.7741935483871
1779818926.38534,2679026748,!dadfb03c,-110,3.25,2.635,96.875
1779818931.583356,3206853693,!dadfb03c,-113,2.0,2.729,96.96969696969697
1779818936.587026,337853502,!dadfb03c,-103,5.25,2.629,97.05882352941177
1779818941.583461,4248033343,!dadfb03c,-108,4.25,2.521,97.14285714285714
