1,1782221157,3634305413,1782221159.9821088,-138,-14.75,,,
2,1782221217,2745722246,1782221221.1092665,-137,-14.25,,,
3,1782221277,1637025159,1782221287.2066689,-136,-12.75,,,
4,1782221337,4220239240,1782221355.2040308,-135,-11.75,,,
6,1782221457,1470798218,1782221460.246621,-134,-9.75,,,
7,1782221517,548419979,1782221520.638365,-139,-15.75,,,
9,1782221638,2627632525,1782221641.8204472,-143,-18.5,,,
10,1782221698,2046858638,1782221700.8129692,-135,-11.25,,,
12,1782221818,138802576,1782221820.9275692,-134,-10,,,
13,1782221878,993510801,1782221888.2281592,-134,-10.5,,,
14,1782221938,4036419986,1782221941.5256727,-132,-9.25,,,
15,1782221998,1590730131,1782222008.6364768,-134,-10.75,,,
16,1782222058,2017960340,1782222061.6838467,-136,-11.5,,,
17,1782222118,3122014613,1782222136.1432984,-139,-16.75,,,
18,1782222178,2308042134,1782222189.0014262,-136,-12,,,
21,1782222359,2806242713,1782222362,-134,-11.25,,,
24,1782222539,1923212700,1782222549.4673004,-132,-9,,,
25,1782222599,3824428445,1782222616.636571,-135,-13,,,
26,1782222659,3203792286,1782222662.611674,-136,-11.5,,,
28,1782222780,2898474400,1782222782.8278298,-141,-17.75,,,
29,1782222840,3907392929,1782222842.8819034,-141,-17,,,
34,1782223140,2075148710,1782223143.3792925,-139,-16.25,,,
37,1782223321,2064934313,1782223331.740758,-138,-14,,,
40,1782223501,941753772,1782223505.6866405,-143,-18.5,,,
45,1782223801,2579889,1782223811.8402867,-136,-12.25,,,
46,1782223862,1218838962,1782223864.8105066,-136,-12.25,,,
48,1782223982,3812074932,1782223999.7891912,-125,-4.25,,,
53,1782224282,706235833,1782224292.7444775,-123,-2,,,
55,1782224403,1883827643,1782224420.3221204,-125,-3,,,
57,1782224523,262309309,1782224540.7139227,-125,-4,,,
961753609,1782147249.237996,-37,12.75
59548170,1782147254.155906,-38,12.75
607901195,1782147259.203906,-40,8.5
2739012108,1782147264.2968268,-40,10.0
2054294029,1782147269.315107,-41,10.5
1294283278,1782147274.5624871,-42,13.75
2599896591,1782147279.60197,-44,13.5
1371765264,1782147284.652218,-41,10.25
2695563793,1782147289.978676,-41,10.75
585779378,1782149112.6562638,,
585779378,1782149115.4443672,-142,-17.5
2822975675,1782149167.4398808,,
2015458496,1782149175.299102,,
3113027774,1782149185.3746612,,
3113027774,1782149187.4433799,-144,-19.0
4096099522,1782149191.0130088,-139,-15.75
2415827140,1782149194.9885151,,
2415827140,1782149197.528825,-141,-16.5
2007240901,1782149211.873712,-144,-19.75
4156321992,1782149233.2025669,,
1242344706,1782149531.874839,,
1242344706,1782149543.9179919,-144,-20.0
3524587784,1782149548.373067,,
3524587784,1782149552.405238,-142,-17.75
684951819,1782149568.8569658,,
1883863305,1782149570.445656,,
684951819,1782149581.5760121,-141,-17.0
315475212,1782149586.060395,,
315475212,1782149589.1770291,-143,-17.5
1164962061,1782149591.049441,,
3439140114,1782149607.9300091,-143,-19.25
39774485,1782149614.461735,,
1398266134,1782149626.526565,,
1398266134,1782149629.572354,-144,-18.75
728140056,1782149635.2712379,,
2072673563,1782149657.3317518,,
1967429919,1782149662.010369,,
1822588196,1782149686.387064,,
920943936,1782149839.070962,,
3149403459,1782149849.188823,-141,-17.75
2129367368,1782149879.957263,,
4008387914,1782149881.067826,,
2129367368,1782149882.772944,-144,-20.25
3297219915,1782149887.55377,,
1684068687,1782149905.200808,,
3981014348,1782149911.269206,,
3981014348,1782149913.579372,-143,-17.5
2496574797,1782149917.112384,,
2496574797,1782149920.112479,-143,-18.5
2766570832,1782149923.663811,,
3809958228,1782149940.377982,-143,-19.25
3549700437,1782149944.054116,,
3549700437,1782149947.696531,-145,-19.5
3572359510,1782149963.492747,,
3572359510,1782149980.361952,-142,-17.5
2314200415,1782150004.3278341,-142,-17.5
3176800,1782150006.991632,-143,-19.25
1856026977,1782150009.088874,,
1856026977,1782150012.743962,-145,-19.5
1851052387,1782150020.882901,,
1851052387,1782150023.846824,-141,-17.0
2703264098,1782150028.98205,,
1332338021,1782150030.172805,,
2703264098,1782150033.4233139,-141,-16.75
1332338021,1782150034.453244,-141,-16.0
3296443752,1782150037.0652,,
2088407401,1782150040.168697,,
3613459814,1782150051.160645,,
3613459814,1782150056.779505,-141,-16.75
764050791,1782150058.069428,,
1204970862,1782150067.505478,,
2050581867,1782150071.8026738,,
3250457965,1782150074.1917188,,
1396898160,1782150076.909854,,
1204970862,1782150079.842968,-144,-18.5
3442804076,1782150083.758204,,
532339055,1782150084.445626,,
3868411250,1782150096.209298,,
966058355,1782150100.053231,-141,-17.25
885075316,1782150106.2002199,,
2678600055,1782150109.7974699,,
2517927288,1782150116.1202838,,
253067638,1782150117.5911272,,
2517927288,1782150120.002582,-143,-18.75
253067638,1782150121.9187999,-142,-18.25
2581238137,1782150130.179939,,
2581238137,1782150133.747496,-140,-17.25
1307697532,1782150137.632888,,
1811584379,1782150152.068565,,
3307310461,1782150162.1101398,,
3855499647,1782150163.9297578,,
3391189374,1782150167.632292,,
3391189374,1782150171.14417,-142,-17.75
3902504323,1782150173.774517,,
795987329,1782150174.727674,,
3476572549,1782150182.290088,,
3139331462,1782150187.037971,,
3139331462,1782150189.4086962,-143,-18.75
"1, 1782221156.627792",3634305413,1782221159.9821088,-138,-14.75
"2, 1782221216.751358",2745722246,1782221221.1092665,-137,-14.25
"3, 1782221276.863596",1637025159,1782221287.2066689,-136,-12.75
"4, 1782221336.968062",4220239240,1782221355.2040308,-135,-11.75
"6, 1782221457.1841438",1470798218,1782221460.246621,-134,-9.75
"7, 1782221517.290588",548419979,1782221520.638365,-139,-15.75
"9, 1782221637.5183182",2627632525,1782221641.8204472,-143,-18.5
"10, 1782221697.6297548",2046858638,1782221700.8129692,-135,-11.25
"12, 1782221817.7859042",138802576,1782221820.9275692,-134,-10.0
"13, 1782221877.905301",993510801,1782221888.2281592,-134,-10.5
"14, 1782221938.0211468",4036419986,1782221941.5256727,-132,-9.25
"15, 1782221998.1400461",1590730131,1782222008.6364768,-134,-10.75
"16, 1782222058.265894",2017960340,1782222061.6838467,-136,-11.5
"17, 1782222118.378439",3122014613,1782222136.1432984,-139,-16.75
"18, 1782222178.4913018",2308042134,1782222189.0014262,-136,-12.0
"21, 1782222358.82796",2806242713,1782222361.99021,-134,-11.25
"24, 1782222539.159682",1923212700,1782222549.4673004,-132,-9.0
"25, 1782222599.272",3824428445,1782222616.636571,-135,-13.0
"26, 1782222659.388261",3203792286,1782222662.611674,-136,-11.5
"28, 1782222779.6051672",2898474400,1782222782.8278298,-141,-17.75
"29, 1782222839.720184",3907392929,1782222842.8819034,-141,-17.0
"34, 1782223140.236762",2075148710,1782223143.3792925,-139,-16.25
"37, 1782223320.570632",2064934313,1782223331.740758,-138,-14.0
"40, 1782223500.892826",941753772,1782223505.6866405,-143,-18.5
"45, 1782223801.450309",2579889,1782223811.8402867,-136,-12.25
"46, 1782223861.558917",1218838962,1782223864.8105066,-136,-12.25
"48, 1782223981.7797298",3812074932,1782223999.7891912,-125,-4.25
"53, 1782224282.346078",706235833,1782224292.7444775,-123,-2.0
"55, 1782224402.580275",1883827643,1782224420.3221204,-125,-3.0
"57, 1782224522.805748",262309309,1782224540.7139227,-125,-4.0

4290356512,1782217172.619736,-140,-16.25
729372961,1782217229.071552,,
729372961,1782217231.9494898,-139,-14.5
2255946018,1782217289.3311958,,
2255946018,1782217291.821974,-141,-16.0
2219626787,1782217356.518823,,
2219626787,1782217359.1896162,-140,-15.5
122175780,1782217409.5785348,,
3622173989,1782217469.5103219,,
3622173989,1782217472.117717,-140,-15.25
1616640294,1782217529.748328,,
1616640294,1782217532.114111,-140,-15.0
1832745255,1782217589.620873,,
1832745255,1782217593.1568232,-140,-14.75
2843938088,1782217649.8648682,,
2843938088,1782217652.59474,-140,-15.0
2884938026,1782217770.1730208,,
2884938026,1782217774.4752781,-144,-18.5
462384427,1782217830.0631301,,
3057522988,1782217891.0773602,,
3836721453,1782217950.4662669,,
3836721453,1782217952.997376,-143,-17.5
1399481646,1782218017.689475,,
1399481646,1782218021.315799,-144,-18.75
1647871280,1782218130.660876,,
180512049,1782218197.9324028,,
180512049,1782218200.434185,-143,-17.0
586396978,1782218250.7319438,,
586396978,1782218254.056912,-141,-17.0
3659877683,1782218320.61327,-143,-18.0
1679633716,1782218385.649079,,
3683733813,1782218431.0898361,,
297649463,1782218551.3423748,,
