Failed LSC to McCain???,,,,,
2502687600,1784647096.847649,,98,,
2445249393,1784647117.028405,,,,
1198870386,1784647137.273611,,,,
3692127091,1784647157.3409111,,,,
972660,1784647177.275698,,,,
105188213,1784647197.5943239,,,,
25102198,1784647217.654996,,,,
3430074231,1784647244.706059,,,,
3854288760,1784647257.8833039,,,,
4062572409,1784647278.091038,,,,
196855674,1784647298.005457,,,,
4019078011,1784647318.177382,,,,
187875196,1784647338.445069,,,,
3193098109,1784647358.415752,,,,
2425246590,1784647378.527033,,,,
3072666495,1784647398.873143,,,,
4232024960,1784647418.808528,,,,
980406145,1784647445.889411,,,,
284763010,1784647459.0908968,,,,
1523028867,1784647479.0161889,,,,
1559244676,1784647499.209136,,,,
331181957,1784647519.256856,,,,
2349067142,1784647540,,,,
3948587911,1784647560.127317,,,,
2931412872,1784647579.6109388,,,,
1557383049,1784647599.7265952,,,,
1549144970,1784647620.027093,,,,
2864843659,1784647640.089335,,,,
4223113100,1784647659.920802,,,,
1773962125,1784647680.205931,,,,
2568617870,1784647707.6885152,,,,
832917391,1784647720.3193028,,,,
3725081488,1784647740.745855,,,,
3384554385,1784647760.862335,,,,
3832081298,1784647788.0330791,,,,
2497882003,1784647801.111787,,,,
450791316,1784647821.034316,,,,
3745654677,1784647841.229719,,,,
3330120598,1784647861.127341,,,,
3764761495,1784647881.227206,,,,
828099480,1784647901.6028318,,,,
1703929753,1784647921,,,,
3477529498,1784647942,,,,
1427122075,1784647961.303155,,,,
88892316,1784647981.960371,,,,
1469721501,1784648002,,,,
449327006,1784648029.2087822,,,,
3277033376,1784648069.9697511,,,,
369221537,1784648083.156383,,,,
,,,,,
*** LSC to Rowe Top Floor ***,,,64,-137.7741935,-13.60483871
,,,,,
32025519,1784648170.8350122,-139,-16,,
658640816,1784648183,-138,-15,,
1095496625,1784648196.4245021,-135,-16,,
2897356722,1784648217,-138,-12.5,,
100348851,1784648236.666851,-138,-14.75,,
1186308022,1784648303.961001,-139,-14.5,,
2862131128,1784648344.057965,-139,-13.5,,
3046073273,1784648357.308678,-139,-15,,
1714408378,1784648377.570061,-140,-15,,
1250213820,1784648432.4077609,-138,-12.75,,
2964295613,1784648452.5413032,-139,-14,,
1755137982,1784648465.2245052,-143,-18.75,,
1805409217,1784648525.0090508,-141,-15.75,,
1742078914,1784648545.658723,-139,-14.5,,
4136934339,1784648558.693409,-137,-12,,
4086113220,1784648578.633923,-139,-15,,
2390850501,1784648627.227521,-136,-12.25,,
1752605638,1784648643,-138,-13,,
1553124300,1784648746.451196,-140,-15,,
1473591247,1784648822.6734238,-141,-15.75,,
1644820434,1784648867.100246,-134,-14,,
1032381395,1784648887.874183,-139,-14.25,,
3382039508,1784648909.1200252,-137,-12.75,,
2330940373,1784648920.5946822,-137,-12.5,,
1551080406,1784648940.5263119,-136,-11.5,,
1659732951,1784648960.456767,-136,-11.25,,
1532270552,1784648978.3744671,,,,
2100080601,1784649007.7053661,-136,-11,,
2678110170,1784649020.872281,-136,-11.25,,
1776635867,1784649041.214735,-135,-11.25,,
1254588380,1784649061.129302,-136,-12,,
3361969117,1784649081.304706,-133,-9,,
,,,,,
*** LSC to McCain Again ??? ***,,,,,
,,,,,
2523799964,1784651999.200049,,,,
357852573,1784652019.308554,,,,
357852573,1784652029.2854989,-144,-18.25,,
3519386014,1784652039.2542348,,,,
131895711,1784652059.3918238,,,,
1360363936,1784652079.4734411,,,,
2566523297,1784652100.582098,,,,
216421794,1784652120,,,,
