timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate
1779820078.382805,2190293746,!dadfb03c,-74,10.75,3.745,100.0
1779820083.884256,2334328563,!dadfb03c,-70,11.25,4.14,100.0
1779820088.286786,2450837236,!dadfb03c,-67,9.5,3.438,100.0
1779820093.6369212,1935726325,!dadfb03c,-69,11.25,3.684,100.0
1779820098.6375139,74413814,!dadfb03c,-72,9.25,3.581,100.0
1779820103.635901,3552644855,!dadfb03c,-76,10.0,3.476,100.0
1779820109.03619,1663434488,!dadfb03c,-74,11.25,3.772,100.0
1779820113.789433,2960887545,!dadfb03c,-74,9.0,3.421,100.0
1779820124.237537,1359639291,!dadfb03c,-85,10.0,3.661,90.0
1779820129.184869,1537015548,!dadfb03c,-82,8.25,3.505,90.9090909090909
1779820134.48327,655707901,!dadfb03c,-85,9.75,3.699,91.66666666666666
1779820139.835964,1156085502,!dadfb03c,-84,9.25,3.948,92.3076923076923
1779820144.8868659,3450495743,!dadfb03c,-90,8.0,3.895,92.85714285714286
1779820149.885917,631429888,!dadfb03c,-90,6.0,3.79,93.33333333333333
1779820154.936147,391837441,!dadfb03c,-91,9.5,3.737,93.75
1779820160.540355,2356858626,!dadfb03c,-88,8.25,4.237,94.11764705882352
1779820165.433772,1233396483,!dadfb03c,-86,7.75,4.026,94.44444444444444
1779820170.4354281,3217841924,!dadfb03c,-89,6.25,3.924,94.73684210526315
1779820175.2869818,1417901829,!dadfb03c,-88,7.0,3.671,95.0
1779820180.688521,1232738054,!dadfb03c,-84,9.75,3.969,95.23809523809523
1779820185.4341528,3102276359,!dadfb03c,-83,8.25,3.611,95.45454545454545
1779820190.784723,1697441544,!dadfb03c,-84,8.0,3.857,95.65217391304348
1779820195.9338691,202526473,!dadfb03c,-88,7.0,3.902,95.83333333333334
1779820201.185864,3833894666,!dadfb03c,-79,7.5,4.05,96.0
1779820211.386,1168098060,!dadfb03c,-77,8.25,4.043,92.5925925925926
1779820216.485109,3091196685,!dadfb03c,-75,7.75,4.038,92.85714285714286
1779820226.5359402,2595783439,!dadfb03c,-76,8.0,3.881,90.0
1779820231.735795,2891781904,!dadfb03c,-84,5.75,3.977,90.32258064516128
1779820236.537736,1154076433,!dadfb03c,-82,6.25,3.675,90.625
1779820242.14275,54044434,!dadfb03c,-86,6.5,4.176,90.9090909090909
1779820246.786946,2101075731,!dadfb03c,-84,7.0,3.716,91.17647058823529
1779820251.7868989,303354644,!dadfb03c,-87,6.5,3.612,91.42857142857143
1779820257.334778,754125589,!dadfb03c,-86,7.5,4.056,91.66666666666666
1779820262.2855182,664039190,!dadfb03c,-87,8.0,3.903,91.8918918918919
1779820268.2360451,2416264983,!dadfb03c,-84,9.25,4.749,92.10526315789474
1779820272.2857091,1867523864,!dadfb03c,-83,9.0,3.695,92.3076923076923
1779820277.738474,2843199257,!dadfb03c,-86,9.5,4.043,92.5
1779820282.488109,2677198618,!dadfb03c,-85,9.25,3.689,92.6829268292683
1779820287.837238,1609228059,!dadfb03c,-89,8.75,3.934,92.85714285714286
1779820292.935381,823375644,!dadfb03c,-84,8.5,3.929,93.02325581395348
1779820297.991078,4140616477,!dadfb03c,-81,8.75,3.881,93.18181818181817
1779820303.540308,8103710,!dadfb03c,-85,8.0,4.326,93.33333333333333
1779820307.987278,383481631,!dadfb03c,-83,8.25,3.669,93.47826086956522
1779820313.188349,255993632,!dadfb03c,-83,9.75,3.766,93.61702127659575
1779820318.2901618,1239351073,!dadfb03c,-80,9.5,3.764,93.75
1779820324.236316,3806024482,!dadfb03c,-72,9.25,4.607,93.87755102040816
1779820328.538432,3464539939,!dadfb03c,-77,8.0,3.805,94.0
1779820334.386395,3524449060,!dadfb03c,-79,10.75,4.549,94.11764705882352
1779820338.58861,2012018469,!dadfb03c,-78,10.5,3.648,94.23076923076923
