number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,1785436222.4564328,247,1800000,100000,6,75,247,988,75,75,32,43,0,9,5408.253637737796,0.028608967111111126,0.0,0.10666666666666667,0.4266666666666667,0.9,20,2,18,3.2933333333333334,1.0,0.4266666666666667
5,1785436222.961994,240,1800000,100000,6,76,240,960,74,74,40,34,0,0,3203.506997871368,0.027798186666666676,0.0,0.13157894736842105,0.5405405405405406,0.9,20,2,18,3.1578947368421053,1.0,0.5263157894736842
5,1785436223.459112,238,1800000,100000,6,76,238,952,66,66,33,33,0,0,2622.683672375276,0.027566535111111123,0.0,0.10855263157894737,0.5,0.9,20,2,18,3.1315789473684212,1.0,0.4342105263157895
5,1785436223.962098,278,1800000,100000,6,70,278,1112,0,0,0,0,0,0,nan,0.03219956622222224,nan,0.0,nan,1.0,20,0,20,3.9714285714285715,0,0.0
5,1785436224.512842,258,1800000,100000,6,74,258,1032,62,62,31,31,0,7,7079.990910583009,0.02988305066666668,0.0,0.10472972972972973,0.5,0.9,20,2,18,3.4864864864864864,1.0,0.4189189189189189
5,1785436225.0260491,278,1800000,100000,6,70,278,1112,0,0,0,0,0,0,nan,0.03219956622222224,nan,0.0,nan,1.0,20,0,20,3.9714285714285715,0,0.0
5,1785436225.624587,194,1800000,100000,6,79,194,776,137,137,66,71,0,5,3770.721489568099,0.0224702008888889,0.0,0.2088607594936709,0.48175182481751827,0.8,20,4,16,2.4556962025316458,1.0,0.8354430379746836
5,1785436226.1421351,278,1800000,100000,6,70,278,1112,0,0,0,0,0,0,nan,0.03219956622222224,nan,0.0,nan,1.0,20,0,20,3.9714285714285715,0,0.0
5,1785436226.65018,251,1800000,100000,6,76,251,1004,122,122,70,52,0,14,5308.254368067832,0.029072270222222238,0.0,0.23026315789473684,0.5737704918032787,0.9,20,2,18,3.3026315789473686,1.0,0.9210526315789473
5,1785436227.160501,237,1800000,100000,6,75,237,948,64,64,32,32,0,2,2567.3435049836353,0.02745070933333335,0.0,0.10666666666666667,0.5,0.9,20,2,18,3.16,1.0,0.4266666666666667
7,1785436227.704148,323,1800000,100000,6,99,323,1938,73,73,37,36,0,0,2311.4787988792114,0.0267226615873016,0.0,0.06228956228956229,0.5068493150684932,0.9523809523809523,42,2,40,3.2626262626262625,1.0,0.37373737373737376
7,1785436228.273814,383,1800000,100000,6,102,383,2298,478,455,234,221,23,142,5797.889681894482,0.03168662349206351,0.04811715481171548,0.38235294117647056,0.5142857142857142,0.8095238095238095,42,8,34,3.7549019607843137,0.9518828451882845,2.2941176470588234
7,1785436228.818291,382,1800000,100000,6,101,382,2292,160,152,99,53,7,22,6128.648713480132,0.03160389079365081,0.04375,0.16336633663366337,0.6513157894736842,0.9523809523809523,42,2,40,3.782178217821782,0.95,0.9801980198019802
7,1785436229.411617,386,1800000,100000,6,98,386,2316,99,99,55,44,0,22,12685.305813937293,0.031934821587301605,0.0,0.0935374149659864,0.5555555555555556,0.9523809523809523,42,2,40,3.938775510204082,1.0,0.5612244897959183
7,1785436230.101351,354,1800000,100000,6,100,354,2124,207,199,98,101,8,35,3796.79565585266,0.029287375238095253,0.03864734299516908,0.16333333333333333,0.49246231155778897,0.9047619047619048,42,4,38,3.54,0.961352657004831,0.98
7,1785436230.733429,255,1800000,100000,6,106,255,1530,189,189,94,95,0,7,3549.9099385014283,0.021096838095238105,0.0,0.14779874213836477,0.4973544973544973,0.8571428571428571,42,6,36,2.4056603773584904,1.0,0.8867924528301887
7,1785436231.280607,367,1800000,100000,6,98,367,2202,143,139,86,53,4,17,9110.415530327868,0.030362900317460334,0.027972027972027972,0.14625850340136054,0.6187050359712231,0.9523809523809523,42,2,40,3.7448979591836733,0.972027972027972,0.8775510204081632
7,1785436231.8360581,377,1800000,100000,6,93,377,2262,17,17,11,6,0,5,14208.47152941175,0.031190227301587315,0.0,0.01971326164874552,0.6470588235294118,1.0,42,0,42,4.053763440860215,1.0,0.11827956989247312
7,1785436232.376725,278,1800000,100000,6,105,278,1668,140,140,70,70,0,0,2313.927619460654,0.02299969015873017,0.0,0.1111111111111111,0.5,0.9047619047619048,42,4,38,2.6476190476190475,1.0,0.6666666666666666
7,1785436232.921185,279,1800000,100000,6,105,279,1674,291,289,133,156,2,69,4183.394831362592,0.023082422857142872,0.006872852233676976,0.2111111111111111,0.4602076124567474,0.8095238095238095,42,8,34,2.657142857142857,0.993127147766323,1.2666666666666666
7,1785436233.47305,244,1800000,100000,6,109,244,1464,190,190,95,95,0,0,2428.3261128810796,0.02018677841269842,0.0,0.1452599388379205,0.5,0.8571428571428571,42,6,36,2.238532110091743,1.0,0.8715596330275229
7,1785436233.9988968,316,1800000,100000,6,101,316,1896,192,192,98,94,0,47,2408.1552867168107,0.02614353269841271,0.0,0.1617161716171617,0.5104166666666666,0.8571428571428571,42,6,36,3.128712871287129,1.0,0.9702970297029703
7,1785436234.518881,297,1800000,100000,6,107,297,1782,155,155,79,76,0,7,3815.5816140658394,0.024571611428571442,0.0,0.12305295950155763,0.5096774193548387,0.9047619047619048,42,4,38,2.7757009345794392,1.0,0.7383177570093458
7,1785436235.039598,386,1800000,100000,6,94,386,2316,62,62,41,21,0,7,13388.457256074029,0.031934821587301605,0.0,0.0726950354609929,0.6612903225806451,1.0,42,0,42,4.1063829787234045,1.0,0.43617021276595747
7,1785436235.5580769,350,1800000,100000,6,99,350,2100,124,124,70,54,0,14,8413.735618444802,0.028956444444444458,0.0,0.11784511784511785,0.5645161290322581,0.9523809523809523,42,2,40,3.5353535353535355,1.0,0.7070707070707071
7,1785436236.065718,334,1800000,100000,6,100,334,2004,64,64,32,32,0,0,2448.6987350327427,0.027632721269841284,0.0,0.05333333333333334,0.5,0.9523809523809523,42,2,40,3.34,1.0,0.32
7,1785436236.595478,264,1800000,100000,6,105,264,1584,264,262,131,131,2,54,2430.0561647699756,0.021841432380952392,0.007575757575757576,0.20793650793650795,0.5,0.8095238095238095,42,8,34,2.5142857142857142,0.9924242424242424,1.2476190476190476
7,1785436237.1222558,345,1800000,100000,6,97,345,2070,63,63,34,29,0,2,5261.977890539539,0.028542780952380963,0.0,0.058419243986254296,0.5396825396825397,0.9523809523809523,42,2,40,3.556701030927835,1.0,0.35051546391752575
7,1785436237.6322088,299,1800000,100000,6,99,299,1794,209,209,105,104,0,52,2676.7958858677835,0.024737076825396838,0.0,0.17676767676767677,0.5023923444976076,0.8571428571428571,42,6,36,3.0202020202020203,1.0,1.0606060606060606
7,1785436238.139114,282,1800000,100000,6,102,282,1692,124,124,62,62,0,0,2266.100903225839,0.023330620952380962,0.0,0.10130718954248366,0.5,0.9047619047619048,42,4,38,2.764705882352941,1.0,0.6078431372549019
10,1785436239.076051,494,1800000,100000,6,156,494,4446,799,749,346,403,50,259,3865.882607204968,0.028608967111111123,0.0625782227784731,0.24643874643874644,0.46194926568758343,0.8222222222222222,90,16,74,3.1666666666666665,0.9374217772215269,2.217948717948718
10,1785436239.71315,561,1800000,100000,6,157,561,5049,839,796,411,385,43,249,4260.257566353503,0.032489130666666685,0.05125148986889154,0.2908704883227176,0.5163316582914573,0.8444444444444444,90,14,76,3.573248407643312,0.9487485101311085,2.6178343949044587
10,1785436240.300332,472,1800000,100000,6,158,472,4248,358,354,190,164,4,50,5461.297792588509,0.02733488355555557,0.0111731843575419,0.13361462728551335,0.536723163841808,0.9111111111111111,90,8,82,2.9873417721518987,0.9888268156424581,1.2025316455696202
10,1785436241.092062,626,1800000,100000,6,153,626,5634,903,850,453,397,53,286,4679.414024047619,0.036253468444444464,0.058693244739756366,0.3289760348583878,0.5329411764705883,0.8444444444444444,90,14,76,4.091503267973856,0.9413067552602437,2.9607843137254903
10,1785436241.7875469,519,1800000,100000,6,161,519,4671,494,479,270,209,15,81,6142.361693526012,0.03005678933333335,0.030364372469635626,0.18633540372670807,0.5636743215031316,0.8888888888888888,90,10,80,3.2236024844720497,0.9696356275303644,1.6770186335403727
10,1785436242.513931,499,1800000,100000,6,152,499,4491,349,342,165,177,7,57,4972.260574552228,0.02889853155555557,0.02005730659025788,0.1206140350877193,0.4824561403508772,0.9333333333333333,90,6,84,3.2828947368421053,0.9799426934097422,1.0855263157894737
10,1785436243.194624,523,1800000,100000,6,155,523,4707,869,803,385,418,66,272,4535.58170070412,0.0302884408888889,0.0759493670886076,0.27598566308243727,0.4794520547945205,0.8222222222222222,90,16,74,3.3741935483870966,0.9240506329113924,2.4838709677419355
10,1785436243.8147662,497,1800000,100000,6,156,497,4473,524,495,275,220,29,97,4545.952984453023,0.028782705777777792,0.05534351145038168,0.19586894586894588,0.5555555555555556,0.9111111111111111,90,8,82,3.1858974358974357,0.9446564885496184,1.7628205128205128
10,1785436244.4250472,429,1800000,100000,6,160,429,3861,481,476,251,225,5,96,3626.239361490031,0.024844629333333344,0.010395010395010396,0.17430555555555555,0.5273109243697479,0.8666666666666667,90,12,78,2.68125,0.9896049896049897,1.56875
10,1785436244.991759,466,1800000,100000,6,155,466,4194,287,285,142,143,2,57,4144.9866737215725,0.02698740622222224,0.006968641114982578,0.1017921146953405,0.4982456140350877,0.9111111111111111,90,8,82,3.0064516129032257,0.9930313588850174,0.9161290322580645
10,1785436245.581861,506,1800000,100000,6,162,506,4554,701,669,360,309,32,166,4317.126614151328,0.029303921777777797,0.0456490727532097,0.24691358024691357,0.5381165919282511,0.8222222222222222,90,16,74,3.123456790123457,0.9543509272467903,2.2222222222222223
10,1785436246.142473,475,1800000,100000,6,153,475,4275,398,397,192,205,1,73,5988.695564950978,0.027508622222222237,0.002512562814070352,0.1394335511982571,0.4836272040302267,0.9111111111111111,90,8,82,3.104575163398693,0.9974874371859297,1.2549019607843137
10,1785436246.716418,490,1800000,100000,6,157,490,4410,511,504,223,281,7,134,3765.1808247596805,0.02837731555555557,0.0136986301369863,0.1578202406227884,0.44246031746031744,0.8444444444444444,90,14,76,3.121019108280255,0.9863013698630136,1.4203821656050954
10,1785436247.2797718,392,1800000,100000,6,159,392,3528,508,506,236,270,0,128,4630.435309688586,0.022643939555555565,0.0,0.16491963661774983,0.466403162055336,0.8444444444444444,90,14,76,2.4654088050314464,0.9960629921259843,1.4842767295597483
10,1785436247.856159,455,1800000,100000,6,159,455,4095,378,374,176,198,4,55,4020.3951215798593,0.026350364444444458,0.010582010582010581,0.12299091544374563,0.47058823529411764,0.9111111111111111,90,8,82,2.861635220125786,0.9894179894179894,1.1069182389937107
10,1785436248.414248,526,1800000,100000,6,151,526,4734,325,312,159,153,13,70,5223.76076560197,0.030462179555555573,0.04,0.11699779249448124,0.5096153846153846,0.9333333333333333,90,6,84,3.4834437086092715,0.96,1.0529801324503312
10,1785436249.147315,554,1800000,100000,6,158,554,4986,919,884,435,449,35,284,5233.175070474342,0.03208374044444447,0.03808487486398259,0.3059071729957806,0.4920814479638009,0.8222222222222222,90,16,74,3.5063291139240507,0.9619151251360174,2.7531645569620253
10,1785436249.7192252,420,1800000,100000,6,161,420,3780,288,286,151,135,2,12,4143.765712354116,0.024323413333333346,0.006944444444444444,0.10420979986197378,0.527972027972028,0.9111111111111111,90,8,82,2.608695652173913,0.9930555555555556,0.937888198757764
10,1785436250.3039548,450,1800000,100000,6,159,450,4050,515,475,238,237,40,120,3365.5401879606857,0.026060800000000012,0.07766990291262135,0.1663172606568833,0.5010526315789474,0.8666666666666667,90,12,78,2.830188679245283,0.9223300970873787,1.4968553459119496
10,1785436251.050756,429,1800000,100000,6,153,429,3861,355,351,163,188,4,61,3871.155797898482,0.024844629333333344,0.011267605633802818,0.11837327523602033,0.46438746438746437,0.8888888888888888,90,10,80,2.803921568627451,0.9887323943661972,1.065359477124183
12,1785436251.741889,610,1800000,100000,6,189,610,6710,1278,1207,558,649,71,373,3970.2653905338157,0.029439051851851868,0.05555555555555555,0.2683982683982684,0.4623032311516156,0.803030303030303,132,26,106,3.2275132275132274,0.9444444444444444,2.9523809523809526
12,1785436252.364448,677,1800000,100000,6,184,677,7447,752,694,394,300,58,194,4889.508871744187,0.0326725214814815,0.07712765957446809,0.19466403162055335,0.5677233429394812,0.9090909090909091,132,12,120,3.6793478260869565,0.9228723404255319,2.141304347826087
12,1785436252.9533,574,1800000,100000,6,190,574,6314,608,601,300,301,7,120,6019.796030634894,0.0277016651851852,0.011513157894736841,0.14354066985645933,0.49916805324459235,0.9090909090909091,132,12,120,3.0210526315789474,0.9884868421052632,1.5789473684210527
12,1785436253.542368,574,1800000,100000,6,187,574,6314,636,602,316,286,34,132,5218.627717998801,0.02765340444444446,0.05345911949685535,0.1536217792902285,0.5249169435215947,0.9090909090909091,132,12,120,3.06951871657754,0.9465408805031447,1.6898395721925135
12,1785436254.196739,677,1800000,100000,6,187,677,7447,878,827,425,402,51,254,4278.476661518381,0.0326725214814815,0.05808656036446469,0.2066115702479339,0.5139056831922612,0.8939393939393939,132,14,118,3.620320855614973,0.9419134396355353,2.272727272727273
12,1785436254.958247,687,1800000,100000,6,192,687,7557,1773,1618,739,879,145,580,5087.267863205377,0.03301034666666668,0.08178228990411732,0.34990530303030304,0.45673671199011123,0.7727272727272727,132,30,102,3.578125,0.9125775521714607,3.8489583333333335
12,1785436255.555728,534,1800000,100000,6,191,534,5874,736,705,348,357,30,153,3975.0963840149398,0.02577123555555557,0.04076086956521739,0.16563541170871013,0.49361702127659574,0.8787878787878788,132,16,116,2.7958115183246073,0.9578804347826086,1.8219895287958114
12,1785436256.405926,845,1800000,100000,6,187,845,9295,1313,1171,649,522,142,412,6551.027676587788,0.04078032592592595,0.10814927646610815,0.3155080213903743,0.5542271562766866,0.8787878787878788,132,16,116,4.518716577540107,0.8918507235338918,3.4705882352941178
12,1785436257.083522,540,1800000,100000,6,187,540,5940,758,726,380,346,32,184,3143.4232198868353,0.026060800000000012,0.04221635883905013,0.18473505104521148,0.5234159779614325,0.8484848484848485,132,20,112,2.8877005347593583,0.9577836411609498,2.0320855614973263
12,1785436257.856481,851,1800000,100000,6,192,851,9361,1547,1338,744,594,206,407,5645.182658454126,0.041021629629629644,0.13316095669036845,0.3522727272727273,0.5560538116591929,0.8484848484848485,132,20,112,4.432291666666667,0.8648998060762767,3.875
12,1785436258.595509,573,1800000,100000,6,187,573,6303,896,882,451,431,14,256,4037.097155198173,0.02765340444444446,0.015625,0.2192513368983957,0.5113378684807256,0.8636363636363636,132,18,114,3.064171122994652,0.984375,2.411764705882353
12,1785436259.208642,592,1800000,100000,6,188,592,6512,620,568,312,256,52,112,3872.8564356773463,0.02857035851851853,0.08387096774193549,0.15087040618955513,0.5492957746478874,0.9090909090909091,132,12,120,3.148936170212766,0.9161290322580645,1.6595744680851063
12,1785436259.875988,782,1800000,100000,6,192,782,8602,1210,1102,620,482,108,344,4459.244655489258,0.03773989925925928,0.08925619834710743,0.2935606060606061,0.5626134301270418,0.8636363636363636,132,18,114,4.072916666666667,0.9107438016528926,3.2291666666666665
12,1785436260.501327,587,1800000,100000,6,187,587,6457,714,694,377,317,20,166,4906.15824402665,0.02832905481481483,0.028011204481792718,0.18327661643169665,0.5432276657060519,0.8787878787878788,132,16,116,3.1390374331550803,0.9719887955182073,2.016042780748663
12,1785436261.093357,567,1800000,100000,6,185,567,6237,452,446,224,222,6,89,5910.2207927402,0.027363840000000018,0.01327433628318584,0.11007371007371007,0.5022421524663677,0.9242424242424242,132,10,122,3.0648648648648646,0.9867256637168141,1.2108108108108109
