timestamp,packetID,nodeID,rssi,snr,latency,deliveryRate

1779817435.726966,1170553897,!dadfb03c,-62,5.5,40.724,14.285714285714285
1779817435.8757372,1563431978,!dadfb03c,-55,5.0,35.769,25.0
1779817436.124747,2063243307,!dadfb03c,-63,5.75,30.914,33.33333333333333
1779817436.2290518,4271915052,!dadfb03c,-66,5.25,25.915,40.0
1779817436.42652,305692717,!dadfb03c,-66,5.5,21.008,45.45454545454545
1779817436.52651,1123467310,!dadfb03c,-64,5.5,16.004,50.0
1779817436.6769369,3495059503,!dadfb03c,-64,6.0,11.051,53.84615384615385
1779817436.923884,2905615408,!dadfb03c,-70,5.5,6.194,57.14285714285714
1779817437.977622,290155569,!dadfb03c,-73,6.5,2.143,60.0
1779817442.940812,2107792434,!dadfb03c,-69,5.5,2.003,62.5
1779817448.125972,2798538803,!dadfb03c,-69,4.75,2.084,64.70588235294117
1779817453.225615,1909153844,!dadfb03c,-83,5.75,2.08,66.66666666666666
1779817458.327471,1418248245,!dadfb03c,-93,4.5,2.077,68.42105263157895
1779817463.476108,3731260470,!dadfb03c,-81,6.5,2.122,70.0
1779817468.4304519,2057151543,!dadfb03c,-71,5.75,1.972,71.42857142857143
1779817473.67711,4058826808,!dadfb03c,-70,6.0,2.115,72.72727272727273
1779817478.681597,3582268473,!dadfb03c,-74,5.5,2.015,73.91304347826086
1779817483.830476,1590548538,!dadfb03c,-78,6.0,2.06,75.0
1779817489.028899,1464567867,!dadfb03c,-72,6.0,2.155,76.0
1779817494.031114,2076919868,!dadfb03c,-75,4.75,2.053,76.92307692307693
1779817499.226816,12005437,!dadfb03c,-75,5.75,2.145,77.77777777777779
1779817504.3270981,4059714622,!dadfb03c,-76,6.25,2.141,78.57142857142857
1779817509.330292,1974075455,!dadfb03c,-81,5.5,2.04,79.3103448275862
1779817514.480862,3567380544,!dadfb03c,-85,5.5,2.087,80.0
1779817519.5285592,2180551745,!dadfb03c,-81,4.5,2.03,80.64516129032258
1779817524.580259,1066903618,!dadfb03c,-72,6.25,1.978,81.25
1779817529.781408,4276130883,!dadfb03c,-72,6.25,2.075,81.81818181818183
1779817534.9318762,215254084,!dadfb03c,-68,5.0,2.122,82.35294117647058
1779817539.930859,946068549,!dadfb03c,-75,6.0,2.017,82.85714285714286
1779817545.0835478,804458566,!dadfb03c,-71,5.5,2.065,83.33333333333334
1779817550.130599,3219791943,!dadfb03c,-64,5.75,2.008,83.78378378378379
1779817555.284032,2559855688,!dadfb03c,-83,5.75,2.058,84.21052631578947
1779817560.4292202,2197472329,!dadfb03c,-80,6.0,2.099,84.61538461538461
1779817565.582824,1930760266,!dadfb03c,-78,6.0,2.149,85.0
1779817570.581929,3980197963,!dadfb03c,-79,6.0,2.044,85.36585365853658
1779817575.632427,2441008204,!dadfb03c,-76,5.25,1.99,85.71428571428571
1779817580.783252,2976595021,!dadfb03c,-79,6.0,2.037,86.04651162790698
1779817585.93292,534154318,!dadfb03c,-78,5.5,2.083,86.36363636363636
1779817590.930134,3977910351,!dadfb03c,-78,4.75,1.976,86.66666666666667
1779817596.081852,3082936400,!dadfb03c,-74,5.25,2.024,86.95652173913044
1779817601.184688,301494353,!dadfb03c,-75,4.75,2.022,87.2340425531915
1779817606.330266,2887653458,!dadfb03c,-90,2.5,2.064,87.5
1779817611.4805582,2107113555,!dadfb03c,-75,5.5,2.11,87.75510204081633
1779817616.488257,2513461332,!dadfb03c,-82,3.75,2.014,88.0
1779817621.6332438,837346389,!dadfb03c,-75,5.25,2.055,88.23529411764706
1779817626.781027,636731478,!dadfb03c,-78,5.5,2.099,88.46153846153845
1779817631.7851148,2206371927,!dadfb03c,-72,6.25,1.999,88.67924528301887
1779817636.9806879,2638392408,!dadfb03c,-65,5.75,2.091,88.88888888888889
1779817642.03158,998092889,!dadfb03c,-68,5.25,2.037,89.0909090909091
1779817647.2810712,3505883226,!dadfb03c,-71,6.0,2.183,89.28571428571429
