
2356606103,1783016332.580566,,
2356606103,1783016340.221466,-115,2.75
2939092121,1783016345.122568,,
2939092121,1783016352.493181,-116,4.0
2917316760,1783016355.001309,,
4019089562,1783016358.6649458,,
2917316760,1783016364.141789,-116,6.0
2159920284,1783016369.2181098,,
1839092891,1783016373.30913,,
224053405,1783016374.7711942,,
224053405,1783016380.6743119,-114,5.25
74218654,1783016383.883286,,
74218654,1783016389.7930791,-116,5.5
498995359,1783016394.963625,,
498995359,1783016400.379924,-117,5.5
2450951329,1783016425.761054,-116,3.75
865043631,1783016486.994307,-115,4.75
267577520,1783016491.822369,-116,5.75
1092912297,1783016493.389767,-116,5.25
3421362347,1783016503.972883,-116,4.25
272061613,1783016531.9712052,-117,5.0
559829171,1783016577.6512,-144,-19.25
4230789320,1783016583.569039,,
