769404846,!dadfb008,!dadfb6c8,204,1,"1, 1784648130.969275",-136,-13.0
32025519,!dadfb008,!dadfb6c8,204,1,"2, 1784648151.0770948",-137,-15.0
658640816,!dadfb008,!dadfb6c8,204,1,"3, 1784648171.1852531",-136,-15.25
1095496625,!dadfb008,!dadfb6c8,204,1,"4, 1784648191.289192",-137,-15.5
2897356722,!dadfb008,!dadfb6c8,204,1,"5, 1784648211.4018528",-134,-12.25
100348851,!dadfb008,!dadfb6c8,204,1,"6, 1784648231.521728",-137,-13.5
1186308022,!dadfb008,!dadfb6c8,204,1,"9, 1784648291.8582442",-137,-14.75
2862131128,!dadfb008,!dadfb6c8,204,1,"11, 1784648332.074912",-138,-14.75
3046073273,!dadfb008,!dadfb6c8,204,1,"12, 1784648352.181041",-137,-13.5
1714408378,!dadfb008,!dadfb6c8,204,1,"13, 1784648372.287712",-135,-12.5
1250213820,!dadfb008,!dadfb6c8,204,1,"15, 1784648412.507434",-137,-14.25
2964295613,!dadfb008,!dadfb6c8,204,1,"16, 1784648432.619437",-136,-12.5
1755137982,!dadfb008,!dadfb6c8,204,1,"17, 1784648452.731467",-135,-12.5
1805409217,!dadfb008,!dadfb6c8,204,1,"20, 1784648513.058671",-139,-14.5
1742078914,!dadfb008,!dadfb6c8,204,1,"21, 1784648533.168344",-134,-11.5
4136934339,!dadfb008,!dadfb6c8,204,1,"22, 1784648553.276665",-136,-13.25
4086113220,!dadfb008,!dadfb6c8,204,1,"23, 1784648573.3855948",-137,-13.75
2390850501,!dadfb008,!dadfb6c8,204,1,"24, 1784648593.4977229",-141,-17.75
1752605638,!dadfb008,!dadfb6c8,204,1,"25, 1784648613.608404",-137,-15.25
1553124300,!dadfb008,!dadfb6c8,204,1,"31, 1784648734.253242",-134,-12.0
1473591247,!dadfb008,!dadfb6c8,204,1,"34, 1784648794.5821598",-139,-16.5
1644820434,!dadfb008,!dadfb6c8,204,1,"37, 1784648854.9074922",-140,-17.25
1032381395,!dadfb008,!dadfb6c8,204,1,"38, 1784648875.039648",-135,-13.0
3382039508,!dadfb008,!dadfb6c8,204,1,"39, 1784648895.151385",-138,-16.25
2330940373,!dadfb008,!dadfb6c8,204,1,"40, 1784648915.259535",-135,-13.25
1551080406,!dadfb008,!dadfb6c8,204,1,"41, 1784648935.272136",-136,-13.25
1659732951,!dadfb008,!dadfb6c8,204,1,"42, 1784648955.378158",-134,-10.5
1532270552,!dadfb008,!dadfb6c8,204,1,"43, 1784648975.4901152",-136,-14.25
2100080601,!dadfb008,!dadfb6c8,204,1,"44, 1784648995.597137",-135,-11.75
2678110170,!dadfb008,!dadfb6c8,204,1,"45, 1784649015.719638",-138,-15.0
1776635867,!dadfb008,!dadfb6c8,204,1,"46, 1784649035.8332942",-139,-15.5
1254588380,!dadfb008,!dadfb6c8,204,1,"47, 1784649055.955879",-139,-16.25
3361969117,!dadfb008,!dadfb6c8,204,1,"48, 1784649076.069332",-136,-12.75
1494397309,!dadfb008,!dadfb6c8,204,1,Test,-138,-14.0
1532977589,!dadfb008,^all,204,1,Test,-141,-16.5
357852573,!dadfb8d4,!dadfb6c8,204,1,"2, 1784652016.4384158",-141,-16.75
914858406,!dadfb8d4,!dadfb6c8,204,1,"11, 1784652197.430624",-143,-17.5
2057573800,!dadfb8d4,!dadfb6c8,212,0,"13, 1784652237.6502469",-143,-19.0
2210886059,!dadfb8d4,!dadfb6c8,204,1,"16, 1784652297.978962",-140,-16.5
2540140973,!dadfb8d4,!dadfb6c8,204,1,"18, 1784652338.194863",-140,-15.75
1828596142,!dadfb8d4,!dadfb6c8,204,1,"19, 1784652358.303392",-138,-15.25
399714738,!dadfb8d4,!dadfb6c8,204,1,"23, 1784652438.735886",-135,-12.25
1135636915,!dadfb8d4,!dadfb6c8,204,1,"24, 1784652458.855686",-141,-17.25
3716812212,!dadfb8d4,!dadfb6c8,204,1,"25, 1784652478.9663382",-137,-13.25
4222606773,!dadfb8d4,!dadfb6c8,204,1,"26, 1784652499.077593",-136,-13.25
4204069302,!dadfb8d4,!dadfb6c8,212,0,"27, 1784652519.1863139",-144,-20.25
2343701946,!dadfb8d4,!dadfb6c8,212,0,"31, 1784652599.620012",-142,-20.0
3847650750,!dadfb8d4,!dadfb6c8,212,0,"35, 1784652680.062795",-143,-19.25
483875263,!dadfb8d4,!dadfb6c8,212,0,"36, 1784652700.175091",-144,-19.5
